# Species	Genes	Alg.-Conn.	A:363.fasta	D:SotonD1.fasta	D:SotonD5.fasta	E:150.fasta	L1:224.fasta	L2b:Ams5.fasta	L3:404:LN.fasta
7	7	0.996	lcl|NC_020966.1_prot_WP_009871670.1_326	lcl|NC_020967.1_prot_WP_009871670.1_328	lcl|NC_020943.1_prot_WP_009871670.1_327	lcl|CP001886.1_prot_ADH17090.1_329	lcl|NC_020973.1_prot_WP_009871670.1_325	lcl|NC_020936.1_prot_WP_009871670.1_325	lcl|NC_020974.1_prot_WP_009871670.1_325
7	7	0.995	lcl|NC_020966.1_prot_WP_009872024.1_672	lcl|NC_020967.1_prot_WP_009872024.1_674	lcl|NC_020943.1_prot_WP_009872024.1_674	lcl|CP001886.1_prot_ADH17443.1_682	lcl|NC_020973.1_prot_WP_009872024.1_671	lcl|NC_020936.1_prot_WP_009872024.1_670	lcl|NC_020974.1_prot_WP_009872024.1_670
7	7	0.995	lcl|NC_020966.1_prot_WP_009872238.1_874	lcl|NC_020967.1_prot_WP_009872238.1_877	lcl|NC_020943.1_prot_WP_009872238.1_876	lcl|CP001886.1_prot_ADH17661.1_900	lcl|NC_020973.1_prot_WP_009872238.1_875	lcl|NC_020936.1_prot_WP_009872238.1_872	lcl|NC_020974.1_prot_WP_009872238.1_872
7	7	0.993	lcl|NC_020966.1_prot_WP_010725233.1_535	lcl|NC_020967.1_prot_WP_009872720.1_538	lcl|NC_020943.1_prot_WP_010725233.1_537	lcl|CP001886.1_prot_ADH17301.1_540	lcl|NC_020973.1_prot_WP_009873871.1_534	lcl|NC_020936.1_prot_WP_009873871.1_533	lcl|NC_020974.1_prot_WP_009873871.1_534
7	7	0.992	lcl|NC_020966.1_prot_WP_009871889.1_542	lcl|NC_020967.1_prot_WP_009872724.1_545	lcl|NC_020943.1_prot_WP_009871889.1_544	lcl|CP001886.1_prot_ADH17308.1_547	lcl|NC_020973.1_prot_WP_009871889.1_541	lcl|NC_020936.1_prot_WP_009871889.1_540	lcl|NC_020974.1_prot_WP_009871889.1_541
7	7	0.992	lcl|NC_020966.1_prot_WP_011324833.1_713	lcl|NC_020967.1_prot_WP_015506452.1_715	lcl|NC_020943.1_prot_WP_009872068.1_715	lcl|CP001886.1_prot_ADH17486.1_725	lcl|NC_020973.1_prot_WP_009873302.1_712	lcl|NC_020936.1_prot_WP_009873302.1_711	lcl|NC_020974.1_prot_WP_015506632.1_711
7	7	0.992	lcl|NC_020966.1_prot_WP_012728186.1_783	lcl|NC_020967.1_prot_WP_009872911.1_785	lcl|NC_020943.1_prot_WP_009872143.1_785	lcl|CP001886.1_prot_ADH17563.1_802	lcl|NC_020973.1_prot_WP_009873388.1_784	lcl|NC_020936.1_prot_WP_009873388.1_781	lcl|NC_020974.1_prot_WP_009873388.1_781
7	7	0.992	lcl|NC_020966.1_prot_WP_014315977.1_20	lcl|NC_020967.1_prot_WP_009872319.1_20	lcl|NC_020943.1_prot_WP_010724987.1_20	lcl|CP001886.1_prot_ADH16782.1_21	lcl|NC_020973.1_prot_WP_009873497.1_20	lcl|NC_020936.1_prot_WP_012263584.1_20	lcl|NC_020974.1_prot_WP_012263584.1_20
7	7	0.992	lcl|NC_020966.1_prot_WP_014316021.1_361	lcl|NC_020967.1_prot_WP_009873114.1_364	lcl|NC_020943.1_prot_WP_009871705.1_362	lcl|CP001886.1_prot_ADH17125.1_364	lcl|NC_020973.1_prot_WP_015506587.1_360	lcl|NC_020936.1_prot_WP_009873749.1_359	lcl|NC_020974.1_prot_WP_009873749.1_360
7	7	0.991	lcl|NC_020966.1_prot_WP_009871355.1_10	lcl|NC_020967.1_prot_WP_009871355.1_10	lcl|NC_020943.1_prot_WP_009871355.1_10	lcl|CP001886.1_prot_ADH16771.1_10	lcl|NC_020973.1_prot_WP_009871355.1_10	lcl|NC_020936.1_prot_WP_009871355.1_10	lcl|NC_020974.1_prot_WP_009871355.1_10
7	7	0.991	lcl|NC_020966.1_prot_WP_009871378.1_32	lcl|NC_020967.1_prot_WP_009872329.1_32	lcl|NC_020943.1_prot_WP_009871378.1_32	lcl|CP001886.1_prot_ADH16794.1_33	lcl|NC_020973.1_prot_WP_009871378.1_32	lcl|NC_020936.1_prot_WP_009871378.1_32	lcl|NC_020974.1_prot_WP_009871378.1_32
7	7	0.991	lcl|NC_020966.1_prot_WP_009871427.1_80	lcl|NC_020967.1_prot_WP_009872364.1_80	lcl|NC_020943.1_prot_WP_009871427.1_80	lcl|CP001886.1_prot_ADH16845.1_84	lcl|NC_020973.1_prot_WP_009871427.1_80	lcl|NC_020936.1_prot_WP_009871427.1_80	lcl|NC_020974.1_prot_WP_009871427.1_80
7	7	0.991	lcl|NC_020966.1_prot_WP_009871587.1_243	lcl|NC_020967.1_prot_WP_009872491.1_245	lcl|NC_020943.1_prot_WP_009871587.1_244	lcl|CP001886.1_prot_ADH17005.1_244	lcl|NC_020973.1_prot_WP_009872491.1_242	lcl|NC_020936.1_prot_WP_009872491.1_242	lcl|NC_020974.1_prot_WP_009872491.1_242
7	7	0.991	lcl|NC_020966.1_prot_WP_009871778.1_436	lcl|NC_020967.1_prot_WP_009871778.1_439	lcl|NC_020943.1_prot_WP_009871778.1_437	lcl|CP001886.1_prot_ADH17198.1_437	lcl|NC_020973.1_prot_WP_009871778.1_435	lcl|NC_020936.1_prot_WP_009871778.1_434	lcl|NC_020974.1_prot_WP_009871778.1_435
7	7	0.991	lcl|NC_020966.1_prot_WP_009871948.1_599	lcl|NC_020967.1_prot_WP_009872766.1_602	lcl|NC_020943.1_prot_WP_009871948.1_601	lcl|CP001886.1_prot_ADH17367.1_606	lcl|NC_020973.1_prot_WP_009871948.1_598	lcl|NC_020936.1_prot_WP_009871948.1_597	lcl|NC_020974.1_prot_WP_009871948.1_598
7	7	0.991	lcl|NC_020966.1_prot_WP_009871950.1_601	lcl|NC_020967.1_prot_WP_009871950.1_604	lcl|NC_020943.1_prot_WP_009871950.1_603	lcl|CP001886.1_prot_ADH17369.1_608	lcl|NC_020973.1_prot_WP_009871950.1_600	lcl|NC_020936.1_prot_WP_009871950.1_599	lcl|NC_020974.1_prot_WP_009871950.1_600
7	7	0.991	lcl|NC_020966.1_prot_WP_009871967.1_618	lcl|NC_020967.1_prot_WP_009871967.1_620	lcl|NC_020943.1_prot_WP_009871967.1_620	lcl|CP001886.1_prot_ADH17384.1_623	lcl|NC_020973.1_prot_WP_009871967.1_617	lcl|NC_020936.1_prot_WP_009871967.1_616	lcl|NC_020974.1_prot_WP_009871967.1_616
7	7	0.991	lcl|NC_020966.1_prot_WP_009872145.1_785	lcl|NC_020967.1_prot_WP_009872145.1_787	lcl|NC_020943.1_prot_WP_009872145.1_787	lcl|CP001886.1_prot_ADH17565.1_804	lcl|NC_020973.1_prot_WP_009872145.1_786	lcl|NC_020936.1_prot_WP_009872145.1_783	lcl|NC_020974.1_prot_WP_009872145.1_783
