# Species	Genes	Alg.-Conn.	536.fasta	ABU83972.fasta	APEC01.fasta	CFT073.fasta	E2348:69.fasta	ED1a.fasta	S88.fasta	SE15.fasta	UTI89.fasta
9	34	0.348	lcl|NC_008253.1_prot_WP_000692346.1_2953,lcl|NC_008253.1_prot_WP_000692353.1_329,lcl|NC_008253.1_prot_WP_000692350.1_4497,lcl|NC_008253.1_prot_WP_000692323.1_2003,lcl|NC_008253.1_prot_WP_000692323.1_3768	lcl|CP001671.1_prot_ADN44852.1_233,lcl|CP001671.1_prot_ADN45804.1_1185,lcl|CP001671.1_prot_ADN47798.1_3179,lcl|CP001671.1_prot_ADN46848.1_2229,lcl|CP001671.1_prot_ADN49308.1_4689	lcl|NZ_CP028310.1_prot_WP_000692315.1_322,lcl|NZ_CP028310.1_prot_WP_000692341.1_2956,lcl|NZ_CP028310.1_prot_WP_000692323.1_2040	lcl|NZ_CP051263.1_prot_WP_000692315.1_242,lcl|NZ_CP051263.1_prot_WP_000692300.1_4156,lcl|NZ_CP051263.1_prot_WP_000692312.1_1158,lcl|NZ_CP051263.1_prot_WP_000692312.1_4675,lcl|NZ_CP051263.1_prot_WP_000692323.1_2303,lcl|NZ_CP051263.1_prot_WP_000692329.1_3352	lcl|NC_011601.1_prot_WP_001220314.1_1148	lcl|NC_011745.1_prot_WP_000692311.1_3395,lcl|NC_011745.1_prot_WP_000692329.1_4706,lcl|NC_011745.1_prot_WP_000692330.1_4988,lcl|NC_011745.1_prot_WP_000692323.1_2294,lcl|NC_011745.1_prot_WP_000692350.1_4813	lcl|CU928161.2_prot_CAR03389.1_2016,lcl|CU928161.2_prot_CAR04545.1_3173,lcl|CU928161.2_prot_CAR06042.1_4666,lcl|CU928161.2_prot_CAR05796.1_4422	lcl|NC_013654.1_prot_WP_000692323.1_1944,lcl|NC_013654.1_prot_WP_001220314.1_4284	lcl|NC_007946.1_prot_WP_000692315.1_1062,lcl|NC_007946.1_prot_WP_000692323.1_2132,lcl|NC_007946.1_prot_WP_000692350.1_4623
9	33	0.631	lcl|NC_008253.1_prot_WP_001186199.1_328,lcl|NC_008253.1_prot_WP_001186725.1_2952,lcl|NC_008253.1_prot_WP_001186726.1_3767,lcl|NC_008253.1_prot_WP_001298074.1_4496,lcl|NC_008253.1_prot_WP_011579144.1_2002	lcl|CP001671.1_prot_ADN44853.1_234,lcl|CP001671.1_prot_ADN45803.1_1184,lcl|CP001671.1_prot_ADN46847.1_2228,lcl|CP001671.1_prot_ADN47797.1_3178,lcl|CP001671.1_prot_ADN49307.1_4688	lcl|NZ_CP028310.1_prot_WP_097470897.1_321,lcl|NZ_CP028310.1_prot_WP_126722292.1_2955	lcl|NZ_CP051263.1_prot_WP_001186170.1_1155,lcl|NZ_CP051263.1_prot_WP_001186171.1_4155,lcl|NZ_CP051263.1_prot_WP_001186726.1_3351,lcl|NZ_CP051263.1_prot_WP_001186756.1_4676,lcl|NZ_CP051263.1_prot_WP_001313574.1_243,lcl|NZ_CP051263.1_prot_WP_001351157.1_2302	lcl|NC_011601.1_prot_WP_001186738.1_1147	lcl|NC_011745.1_prot_WP_001186726.1_4707,lcl|NC_011745.1_prot_WP_001186727.1_4814,lcl|NC_011745.1_prot_WP_001186773.1_2293,lcl|NC_011745.1_prot_WP_001186781.1_4987,lcl|NC_011745.1_prot_WP_001313574.1_3394	lcl|CU928161.2_prot_CAR03388.1_2015,lcl|CU928161.2_prot_CAR04544.1_3172,lcl|CU928161.2_prot_CAR05797.1_4423,lcl|CU928161.2_prot_CAR06041.1_4665	lcl|NC_013654.1_prot_WP_001186773.1_1943,lcl|NC_013654.1_prot_WP_001186779.1_4283	lcl|NC_007946.1_prot_WP_001186727.1_1061,lcl|NC_007946.1_prot_WP_001298074.1_2131,lcl|NC_007946.1_prot_WP_001298074.1_4622
9	23	0.299	lcl|NC_008253.1_prot_WP_001094445.1_2955,lcl|NC_008253.1_prot_WP_000854700.1_331,lcl|NC_008253.1_prot_WP_000854725.1_3770,lcl|NC_008253.1_prot_WP_001094426.1_4499	lcl|CP001671.1_prot_ADN45807.1_1188,lcl|CP001671.1_prot_ADN47801.1_3182,lcl|CP001671.1_prot_ADN49310.1_4691,lcl|CP001671.1_prot_ADN44849.1_230	lcl|NZ_CP028310.1_prot_WP_000854765.1_2958	lcl|NZ_CP051263.1_prot_WP_000854739.1_1161,lcl|NZ_CP051263.1_prot_WP_000854747.1_4673,lcl|NZ_CP051263.1_prot_WP_000854681.1_4158,lcl|NZ_CP051263.1_prot_WP_000854688.1_3355,lcl|NZ_CP051263.1_prot_WP_000854730.1_239	lcl|NC_011601.1_prot_WP_000854914.1_1150	lcl|NC_011745.1_prot_WP_000854734.1_4811,lcl|NC_011745.1_prot_WP_000854753.1_3397,lcl|NC_011745.1_prot_WP_000854753.1_4704,lcl|NC_011745.1_prot_WP_000854753.1_4990	lcl|CU928161.2_prot_CAR04547.1_3175	lcl|NC_013654.1_prot_WP_000854770.1_4286	lcl|NC_007946.1_prot_WP_001094434.1_1065,lcl|NC_007946.1_prot_WP_001094426.1_4625
9	23	0.103	lcl|NC_008253.1_prot_WP_001152619.1_1157	lcl|CP001671.1_prot_ADN45967.1_1348,lcl|CP001671.1_prot_ADN45757.1_1138	lcl|NZ_CP028310.1_prot_WP_001152457.1_1195	lcl|NZ_CP051263.1_prot_WP_001152645.1_2886,lcl|NZ_CP051263.1_prot_WP_001152660.1_1422,lcl|NZ_CP051263.1_prot_WP_001327694.1_1311	lcl|NC_011601.1_prot_WP_001152649.1_727,lcl|NC_011601.1_prot_WP_001152385.1_1055,lcl|NC_011601.1_prot_WP_001420466.1_1473	lcl|NC_011745.1_prot_WP_012601426.1_1020,lcl|NC_011745.1_prot_WP_012601557.1_2038,lcl|NC_011745.1_prot_WP_016232192.1_1652,lcl|NC_011745.1_prot_WP_016232192.1_2442,lcl|NC_011745.1_prot_WP_021565053.1_1416	lcl|CU928161.2_prot_CAR02533.1_1161,lcl|CU928161.2_prot_CAR02704.1_1331,lcl|CU928161.2_prot_CAR01931.1_560,lcl|CU928161.2_prot_CAR06181.1_4804	lcl|NC_013654.1_prot_WP_001152542.1_1107	lcl|NC_007946.1_prot_WP_001152522.1_1392,lcl|NC_007946.1_prot_WP_001152660.1_1227,lcl|NC_007946.1_prot_WP_001152386.1_4752
9	20	0.273	lcl|NC_008253.1_prot_WP_000839272.1_4501,lcl|NC_008253.1_prot_WP_000838536.1_2957,lcl|NC_008253.1_prot_WP_000839274.1_3772,lcl|NC_008253.1_prot_WP_000839247.1_333	lcl|CP001671.1_prot_ADN49312.1_4693,lcl|CP001671.1_prot_ADN45809.1_1190	lcl|NZ_CP028310.1_prot_WP_024181941.1_2960	lcl|NZ_CP051263.1_prot_WP_000839291.1_4671,lcl|NZ_CP051263.1_prot_WP_023563519.1_4160,lcl|NZ_CP051263.1_prot_WP_000772027.1_1163,lcl|NZ_CP051263.1_prot_WP_000839260.1_3357	lcl|NC_011601.1_prot_WP_000839282.1_1152	lcl|NC_011745.1_prot_WP_000839287.1_4809,lcl|NC_011745.1_prot_WP_000839281.1_3399,lcl|NC_011745.1_prot_WP_000839281.1_4702,lcl|NC_011745.1_prot_WP_000839281.1_4992	lcl|CU928161.2_prot_CAR04549.1_3177	lcl|NC_013654.1_prot_WP_000839286.1_4288	lcl|NC_007946.1_prot_WP_000839257.1_1067,lcl|NC_007946.1_prot_WP_000839272.1_4627
9	20	0.18	lcl|NC_008253.1_prot_WP_001519691.1_1158	lcl|CP001671.1_prot_ADN45968.1_1349,lcl|CP001671.1_prot_ADN45758.1_1139	lcl|NZ_CP028310.1_prot_WP_001333568.1_1196	lcl|NZ_CP051263.1_prot_WP_000140699.1_1423,lcl|NZ_CP051263.1_prot_WP_000140691.1_2885,lcl|NZ_CP051263.1_prot_WP_001576728.1_1312	lcl|NC_011601.1_prot_WP_012578866.1_1056,lcl|NC_011601.1_prot_WP_000140734.1_728	lcl|NC_011745.1_prot_WP_000194713.1_2037,lcl|NC_011745.1_prot_WP_000194712.1_1021,lcl|NC_011745.1_prot_WP_024185486.1_1417	lcl|CU928161.2_prot_CAR06182.1_4805,lcl|CU928161.2_prot_CAR02534.1_1162,lcl|CU928161.2_prot_CAR02705.1_1332,lcl|CU928161.2_prot_CAR01932.1_561	lcl|NC_013654.1_prot_WP_000194748.1_1108	lcl|NC_007946.1_prot_WP_032142951.1_4753,lcl|NC_007946.1_prot_WP_000140699.1_1228,lcl|NC_007946.1_prot_WP_000140762.1_1393
9	17	0.322	lcl|NC_008253.1_prot_WP_000213094.1_885	lcl|CP001671.1_prot_ADN45512.1_893,lcl|CP001671.1_prot_ADN46334.1_1715	lcl|NZ_CP028310.1_prot_WP_000213098.1_896,lcl|NZ_CP028310.1_prot_WP_000213028.1_1602	lcl|NZ_CP051263.1_prot_WP_000213028.1_1799,lcl|NZ_CP051263.1_prot_WP_000213094.1_936	lcl|NC_011601.1_prot_WP_000213028.1_1746,lcl|NC_011601.1_prot_WP_000213092.1_911	lcl|NC_011745.1_prot_WP_000213098.1_898,lcl|NC_011745.1_prot_WP_000213028.1_1719	lcl|CU928161.2_prot_CAR02258.1_886,lcl|CU928161.2_prot_CAR02949.1_1576	lcl|NC_013654.1_prot_WP_000213098.1_837,lcl|NC_013654.1_prot_WP_000213028.1_1490	lcl|NC_007946.1_prot_WP_000213098.1_892,lcl|NC_007946.1_prot_WP_000213028.1_1660
9	13	0.635	lcl|NC_008253.1_prot_WP_000239877.1_581	lcl|CP001671.1_prot_ADN45211.1_592	lcl|NZ_CP028310.1_prot_WP_000241001.1_1203	lcl|NZ_CP051263.1_prot_WP_000742375.1_1320,lcl|NZ_CP051263.1_prot_WP_000742375.1_580	lcl|NC_011601.1_prot_WP_000742375.1_477	lcl|NC_011745.1_prot_WP_000239890.1_539	lcl|CU928161.2_prot_CAR01939.1_568,lcl|CU928161.2_prot_CAR01945.1_574,lcl|CU928161.2_prot_CAR02712.1_1339	lcl|NC_013654.1_prot_WP_000239877.1_506	lcl|NC_007946.1_prot_WP_000239877.1_528,lcl|NC_007946.1_prot_WP_000240999.1_1400
9	11	0.752	lcl|NC_008253.1_prot_WP_000426441.1_4458,lcl|NC_008253.1_prot_WP_000426460.1_2346	lcl|CP001671.1_prot_ADN47189.1_2570	lcl|NZ_CP028310.1_prot_WP_000426433.1_2387	lcl|NZ_CP051263.1_prot_WP_000426391.1_2646	lcl|NC_011601.1_prot_E2348C_RS13710_2661	lcl|NC_011745.1_prot_WP_000426394.1_2751	lcl|CU928161.2_prot_CAR03835.1_2462	lcl|NC_013654.1_prot_WP_000426446.1_2295	lcl|NC_007946.1_prot_WP_000426389.1_2537,lcl|NC_007946.1_prot_WP_000426441.1_4587
9	10	0.774	lcl|NC_008253.1_prot_WP_000551259.1_901	lcl|CP001671.1_prot_ADN45528.1_909	lcl|NZ_CP028310.1_prot_WP_000551270.1_915	lcl|NZ_CP051263.1_prot_WP_000551259.1_952,lcl|NZ_CP051263.1_prot_WP_000551270.1_763	lcl|NC_011601.1_prot_WP_000551260.1_927	lcl|NC_011745.1_prot_WP_000551259.1_914	lcl|CU928161.2_prot_CAR02274.1_902	lcl|NC_013654.1_prot_WP_000551259.1_853	lcl|NC_007946.1_prot_WP_000551259.1_908
