# Species	Genes	Alg.-Conn.	11128.fasta	11368.fasta	12009.fasta	E24377A.fasta	IAI1.fasta	SE11.fasta	Sb227.fasta	Ss046.fasta	W.fasta
9	25	0.319	lcl|AP010960.1_prot_BAI35727.1_1822,lcl|AP010960.1_prot_BAI36377.1_2514,lcl|AP010960.1_prot_BAI36165.1_2301	lcl|AP010953.1_prot_BAI25308.1_2031,lcl|AP010953.1_prot_BAI28509.1_5373,lcl|AP010953.1_prot_BAI25804.1_2563	lcl|AP010958.1_prot_BAI30387.1_1563,lcl|AP010958.1_prot_BAI30782.1_1983	lcl|CP000800.1_prot_ABV18211.1_1535,lcl|CP000800.1_prot_ABV18430.1_1927,lcl|CP000800.1_prot_ABV19974.1_2068	lcl|NC_011741.1_prot_WP_001367946.1_4220,lcl|NC_011741.1_prot_WP_000826466.1_1394,lcl|NC_011741.1_prot_WP_001355765.1_1818	lcl|NC_011415.1_prot_WP_000826403.1_1505,lcl|NC_011415.1_prot_WP_000826403.1_2166,lcl|NC_011415.1_prot_WP_000826413.1_1969	lcl|CP000036.1_prot_ABB65720.1_985	lcl|CP000038.1_prot_AAZ88400.1_1603,lcl|CP000038.1_prot_AAZ88654.1_1857,lcl|CP000038.1_prot_AAZ90182.1_3385	lcl|NC_017635.1_prot_WP_000440544.1_2085,lcl|NC_017635.1_prot_WP_000826383.1_4462,lcl|NC_017635.1_prot_WP_015695611.1_1946,lcl|NC_017635.1_prot_WP_041031522.1_1536
9	21	0.106	lcl|AP010960.1_prot_BAI34686.1_719,lcl|AP010960.1_prot_BAI38058.1_4290,lcl|AP010960.1_prot_BAI38507.1_4760	lcl|AP010953.1_prot_BAI24090.1_763,lcl|AP010953.1_prot_BAI27739.1_4569,lcl|AP010953.1_prot_BAI27813.1_4648	lcl|AP010958.1_prot_BAI29557.1_696,lcl|AP010958.1_prot_BAI33287.1_4591,lcl|AP010958.1_prot_BAI33336.1_4641	lcl|CP000800.1_prot_ABV16970.1_694,lcl|CP000800.1_prot_ABV17931.1_3902,lcl|CP000800.1_prot_ABV19509.1_4262	lcl|NC_011741.1_prot_WP_000015063.1_651	lcl|NC_011415.1_prot_WP_000015206.1_761,lcl|NC_011415.1_prot_WP_000015235.1_3866,lcl|NC_011415.1_prot_WP_000015236.1_4214	lcl|CP000036.1_prot_ABB65252.1_516,lcl|CP000036.1_prot_ABB68074.1_3342	lcl|CP000038.1_prot_AAZ87413.1_615	lcl|NC_017635.1_prot_WP_000015021.1_4202,lcl|NC_017635.1_prot_WP_000015245.1_3801
9	18	0.753	lcl|AP010960.1_prot_BAI35784.1_1883,lcl|AP010960.1_prot_BAI38094.1_4331	lcl|AP010953.1_prot_BAI25363.1_2091,lcl|AP010953.1_prot_BAI27772.1_4607	lcl|AP010958.1_prot_BAI30441.1_1620,lcl|AP010958.1_prot_BAI32950.1_4245	lcl|CP000800.1_prot_ABV20447.1_1601,lcl|CP000800.1_prot_ABV20705.1_3819	lcl|NC_011741.1_prot_WP_000358930.1_1469,lcl|NC_011741.1_prot_WP_000372240.1_3528	lcl|NC_011415.1_prot_WP_000358930.1_1574,lcl|NC_011415.1_prot_WP_000372240.1_3784	lcl|CP000036.1_prot_ABB66175.1_1443,lcl|CP000036.1_prot_ABB68000.1_3268	lcl|CP000038.1_prot_AAZ88326.1_1529,lcl|CP000038.1_prot_AAZ90121.1_3324	lcl|NC_017635.1_prot_WP_000358930.1_1598,lcl|NC_017635.1_prot_WP_000372240.1_3713
9	17	0.752	lcl|AP010960.1_prot_BAI37918.1_4146,lcl|AP010960.1_prot_BAI38542.1_4796	lcl|AP010953.1_prot_BAI27597.1_4427,lcl|AP010953.1_prot_BAI28240.1_5088	lcl|AP010958.1_prot_BAI32767.1_4057,lcl|AP010958.1_prot_BAI33424.1_4729	lcl|CP000800.1_prot_ABV16458.1_3624,lcl|CP000800.1_prot_ABV20040.1_4302	lcl|NC_011741.1_prot_WP_000031783.1_3342,lcl|NC_011741.1_prot_WP_000031784.1_3997	lcl|NC_011415.1_prot_WP_000031783.1_3599,lcl|NC_011415.1_prot_WP_000031784.1_4254	lcl|CP000036.1_prot_ABB67808.1_3076,lcl|CP000036.1_prot_ABB68441.1_3709	lcl|CP000038.1_prot_AAZ90029.1_3232,lcl|CP000038.1_prot_AAZ90658.1_3861	lcl|NC_017635.1_prot_WP_000031783.1_3527
9	11	0.644	lcl|AP010960.1_prot_BAI36608.1_2762	lcl|AP010953.1_prot_BAI26182.1_2959	lcl|AP010958.1_prot_BAI31303.1_2527	lcl|CP000800.1_prot_ABV17427.1_2231	lcl|NC_011741.1_prot_WP_001365923.1_2070	lcl|NC_011415.1_prot_WP_001296216.1_2329,lcl|NC_011415.1_prot_WP_012565136.1_2314	lcl|CP000036.1_prot_ABB65545.1_809	lcl|CP000038.1_prot_AAZ88757.1_1960	lcl|NC_017635.1_prot_WP_000097125.1_2164,lcl|NC_017635.1_prot_WP_001349965.1_2179
9	10	0.675	lcl|AP010960.1_prot_BAI36611.1_2765	lcl|AP010953.1_prot_BAI26187.1_2964	lcl|AP010958.1_prot_BAI31308.1_2532	lcl|CP000800.1_prot_ABV17239.1_2237	lcl|NC_011741.1_prot_WP_000048190.1_2075	lcl|NC_011415.1_prot_WP_000048154.1_2318,lcl|NC_011415.1_prot_WP_000048190.1_2334	lcl|CP000036.1_prot_ABB65549.1_813	lcl|CP000038.1_prot_AAZ88762.1_1965	lcl|NC_017635.1_prot_WP_000048190.1_2184
9	10	0.306	lcl|AP010960.1_prot_BAI36607.1_2761	lcl|AP010953.1_prot_BAI26186.1_2963	lcl|AP010958.1_prot_BAI31307.1_2531	lcl|CP000800.1_prot_ABV20812.1_2236	lcl|NC_011741.1_prot_WP_000043652.1_2074	lcl|NC_011415.1_prot_WP_000043590.1_2317,lcl|NC_011415.1_prot_WP_000043606.1_2333	lcl|CP000036.1_prot_ABB65548.1_812	lcl|CP000038.1_prot_AAZ88761.1_1964	lcl|NC_017635.1_prot_WP_000043623.1_2183
9	10	0.185	lcl|AP010960.1_prot_BAI37029.1_3211	lcl|AP010953.1_prot_BAI26734.1_3534	lcl|AP010958.1_prot_ECO103_3003_3003,lcl|AP010958.1_prot_ECO103_3004_3004	lcl|CP000800.1_prot_ABV18134.1_2641	lcl|NC_011741.1_prot_WP_000916082.1_2469	lcl|NC_011415.1_prot_WP_000916082.1_2787	lcl|CP000036.1_prot_ABB67056.1_2324	lcl|CP000038.1_prot_AAZ89198.1_2401	lcl|NC_017635.1_prot_WP_000916082.1_2683
9	9	0.867	lcl|AP010960.1_prot_BAI34703.1_738	lcl|AP010953.1_prot_BAI24107.1_782	lcl|AP010958.1_prot_BAI29572.1_715	lcl|CP000800.1_prot_ABV16640.1_712	lcl|NC_011741.1_prot_WP_000263339.1_672	lcl|NC_011415.1_prot_WP_000263339.1_782	lcl|CP000036.1_prot_ABB65267.1_531	lcl|CP000038.1_prot_AAZ87429.1_631	lcl|NC_017635.1_prot_WP_000263348.1_766
9	9	0.863	lcl|AP010960.1_prot_BAI34179.1_180	lcl|AP010953.1_prot_BAI23540.1_181	lcl|AP010958.1_prot_BAI29055.1_177	lcl|CP000800.1_prot_ABV16580.1_179	lcl|NC_011741.1_prot_WP_001139279.1_177	lcl|NC_011415.1_prot_WP_001139279.1_177	lcl|CP000036.1_prot_ABB64897.1_161	lcl|CP000038.1_prot_AAZ86983.1_185	lcl|NC_017635.1_prot_WP_001139279.1_177
