# Species	Genes	Alg.-Conn.	A:5291.fasta	B_TZ1A828_OT.fasta	E:SW3.fasta	F:SW5.fasta	G:11222.fasta	L1:115.fasta	L1:440:LN.fasta	L2b:UCH-2.fasta
8	8	1	lcl|NC_020939.1_prot_WP_009871348.1_3	lcl|NC_012687.1_prot_WP_009871348.1_3	lcl|NC_017952.1_prot_WP_009871348.1_3	lcl|NC_017953.1_prot_WP_009871348.1_3	lcl|CP001888.1_prot_ADH18611.1_3	lcl|NC_020929.1_prot_WP_009871348.1_3	lcl|NC_020937.1_prot_WP_009871348.1_3	lcl|NC_020931.1_prot_WP_009871348.1_3
8	8	1	lcl|NC_020939.1_prot_WP_009871693.1_348	lcl|NC_012687.1_prot_WP_009871693.1_350	lcl|NC_017952.1_prot_WP_009871693.1_351	lcl|NC_017953.1_prot_WP_009871693.1_352	lcl|CP001888.1_prot_ADH18957.1_349	lcl|NC_020929.1_prot_WP_009871693.1_347	lcl|NC_020937.1_prot_WP_009871693.1_347	lcl|NC_020931.1_prot_WP_009871693.1_347
8	8	1	lcl|NC_020939.1_prot_WP_009872000.1_649	lcl|NC_012687.1_prot_WP_009872000.1_651	lcl|NC_017952.1_prot_WP_009872000.1_651	lcl|NC_017953.1_prot_WP_009872000.1_652	lcl|CP001888.1_prot_ADH19266.1_658	lcl|NC_020929.1_prot_WP_009872000.1_648	lcl|NC_020937.1_prot_WP_009872000.1_647	lcl|NC_020931.1_prot_WP_009872000.1_648
8	8	1	lcl|NC_020939.1_prot_WP_009872024.1_671	lcl|NC_012687.1_prot_WP_009872024.1_673	lcl|NC_017952.1_prot_WP_009872024.1_673	lcl|NC_017953.1_prot_WP_009872024.1_674	lcl|CP001888.1_prot_ADH19291.1_683	lcl|NC_020929.1_prot_WP_009872024.1_670	lcl|NC_020937.1_prot_WP_009872024.1_669	lcl|NC_020931.1_prot_WP_009872024.1_670
8	8	1	lcl|NC_020939.1_prot_WP_009872238.1_873	lcl|NC_012687.1_prot_WP_009872238.1_876	lcl|NC_017952.1_prot_WP_009872238.1_875	lcl|NC_017953.1_prot_WP_009872238.1_876	lcl|CP001888.1_prot_ADH19508.1_900	lcl|NC_020929.1_prot_WP_009872238.1_872	lcl|NC_020937.1_prot_WP_009872238.1_871	lcl|NC_020931.1_prot_WP_009872238.1_872
8	8	0.997	lcl|NC_020939.1_prot_WP_009871621.1_276	lcl|NC_012687.1_prot_WP_009871621.1_278	lcl|NC_017952.1_prot_WP_009871621.1_278	lcl|NC_017953.1_prot_WP_009871621.1_279	lcl|CP001888.1_prot_ADH18885.1_277	lcl|NC_020929.1_prot_WP_009871621.1_276	lcl|NC_020937.1_prot_WP_009871621.1_275	lcl|NC_020931.1_prot_WP_009871621.1_276
8	8	0.997	lcl|NC_020939.1_prot_WP_009871879.1_531	lcl|NC_012687.1_prot_WP_009871879.1_533	lcl|NC_017952.1_prot_WP_009872717.1_534	lcl|NC_017953.1_prot_WP_009872717.1_535	lcl|CP001888.1_prot_ADH19146.1_538	lcl|NC_020929.1_prot_WP_009872717.1_530	lcl|NC_020937.1_prot_WP_009872717.1_530	lcl|NC_020931.1_prot_WP_009872717.1_530
8	8	0.997	lcl|NC_020939.1_prot_WP_009873438.1_849	lcl|NC_012687.1_prot_WP_009873438.1_852	lcl|NC_017952.1_prot_WP_009872212.1_851	lcl|NC_017953.1_prot_WP_009872212.1_852	lcl|CP001888.1_prot_ADH19482.1_874	lcl|NC_020929.1_prot_WP_009873438.1_848	lcl|NC_020937.1_prot_WP_009873438.1_847	lcl|NC_020931.1_prot_WP_009873438.1_848
8	8	0.996	lcl|NC_020939.1_prot_WP_009871375.1_29	lcl|NC_012687.1_prot_WP_009871375.1_29	lcl|NC_017952.1_prot_WP_009871375.1_29	lcl|NC_017953.1_prot_WP_009871375.1_29	lcl|CP001888.1_prot_ADH18638.1_30	lcl|NC_020929.1_prot_WP_009871375.1_29	lcl|NC_020937.1_prot_WP_009871375.1_29	lcl|NC_020931.1_prot_WP_009871375.1_29
8	8	0.996	lcl|NC_020939.1_prot_WP_009871378.1_32	lcl|NC_012687.1_prot_WP_009871378.1_32	lcl|NC_017952.1_prot_WP_009871378.1_32	lcl|NC_017953.1_prot_WP_009872329.1_32	lcl|CP001888.1_prot_ADH18641.1_33	lcl|NC_020929.1_prot_WP_009871378.1_32	lcl|NC_020937.1_prot_WP_009871378.1_32	lcl|NC_020931.1_prot_WP_009871378.1_32
