# Species	Genes	Alg.-Conn.	11128.fasta	2a301.fasta	MG1655.fasta	O55H7.fasta	SE11.fasta	SMS-3-5.fasta	Sb227.fasta	UMN026.fasta
8	54	0.112	lcl|AP010960.1_prot_BAI35803.1_1904,lcl|AP010960.1_prot_BAI37563.1_3779	lcl|NC_004337.2_prot_NP_706457.1_477,lcl|NC_004337.2_prot_NP_706606.1_622,lcl|NC_004337.2_prot_NP_706611.1_627,lcl|NC_004337.2_prot_NP_706788.1_796,lcl|NC_004337.2_prot_NP_706967.1_971,lcl|NC_004337.2_prot_NP_707483.1_1472,lcl|NC_004337.2_prot_NP_707661.1_1643,lcl|NC_004337.2_prot_NP_707693.1_1675,lcl|NC_004337.2_prot_NP_707755.1_1734,lcl|NC_004337.2_prot_NP_707771.1_1748,lcl|NC_004337.2_prot_NP_707884.1_1857,lcl|NC_004337.2_prot_NP_708117.1_2082,lcl|NC_004337.2_prot_NP_708231.1_2193,lcl|NC_004337.2_prot_NP_709935.1_3848	lcl|NC_000913.3_prot_b4623_4192	lcl|CP003109.1_prot_AEZ40136.1_1501,lcl|CP003109.1_prot_AEZ40995.1_2360,lcl|CP003109.1_prot_AEZ42048.1_3413,lcl|CP003109.1_prot_AEZ42061.1_3426,lcl|CP003109.1_prot_AEZ42768.1_4133	lcl|NC_011415.1_prot_WP_085968792.1_1413	lcl|NC_010498.1_prot_WP_085960995.1_1060,lcl|NC_010498.1_prot_WP_152895938.1_296,lcl|NC_010498.1_prot_WP_152895938.1_4278	lcl|CP000036.1_prot_ABB66305.1_1573,lcl|CP000036.1_prot_ABB68770.1_4039,lcl|CP000036.1_prot_ABB68740.1_4009,lcl|CP000036.1_prot_ABB68574.1_3843,lcl|CP000036.1_prot_ABB68325.1_3593,lcl|CP000036.1_prot_ABB68131.1_3399,lcl|CP000036.1_prot_ABB67185.1_2453,lcl|CP000036.1_prot_ABB67069.1_2337,lcl|CP000036.1_prot_ABB66647.1_1915,lcl|CP000036.1_prot_ABB66598.1_1866,lcl|CP000036.1_prot_ABB66465.1_1733,lcl|CP000036.1_prot_ABB64856.1_120,lcl|CP000036.1_prot_ABB66275.1_1543,lcl|CP000036.1_prot_ABB66035.1_1302,lcl|CP000036.1_prot_ABB65686.1_951,lcl|CP000036.1_prot_ABB65646.1_911,lcl|CP000036.1_prot_ABB65505.1_769,lcl|CP000036.1_prot_ABB65423.1_687,lcl|CP000036.1_prot_ABB65416.1_680,lcl|CP000036.1_prot_ABB65211.1_475,lcl|CP000036.1_prot_ABB64983.1_247,lcl|CP000036.1_prot_ABB64946.1_210,lcl|CP000036.1_prot_ABB65715.1_980,lcl|CP000036.1_prot_ABB67988.1_3256	lcl|NC_011751.1_prot_WP_085948656.1_4744,lcl|NC_011751.1_prot_WP_085949589.1_249,lcl|NC_011751.1_prot_WP_085949589.1_317,lcl|NC_011751.1_prot_WP_085949589.1_4320
8	28	0.126	lcl|AP010960.1_prot_BAI35398.1_1465,lcl|AP010960.1_prot_BAI36259.1_2395,lcl|AP010960.1_prot_BAI37155.1_3344,lcl|AP010960.1_prot_BAI34784.1_824,lcl|AP010960.1_prot_BAI35551.1_1629,lcl|AP010960.1_prot_BAI36419.1_2557,lcl|AP010960.1_prot_BAI35673.1_1762,lcl|AP010960.1_prot_BAI35882.1_2002	lcl|NC_004337.2_prot_NP_706647.1_657,lcl|NC_004337.2_prot_NP_707731.1_1710	lcl|NC_000913.3_prot_b4570_1356	lcl|CP003109.1_prot_AEZ41148.1_2513,lcl|CP003109.1_prot_AEZ39311.1_676,lcl|CP003109.1_prot_AEZ40302.1_1667,lcl|CP003109.1_prot_AEZ40469.1_1834,lcl|CP003109.1_prot_AEZ40920.1_2285,lcl|CP003109.1_prot_AEZ39572.1_937,lcl|CP003109.1_prot_AEZ38953.1_318	lcl|NC_011415.1_prot_WP_001233071.1_617,lcl|NC_011415.1_prot_WP_001233090.1_1445,lcl|NC_011415.1_prot_WP_001233090.1_2049,lcl|NC_011415.1_prot_WP_001228226.1_1642	lcl|NC_010498.1_prot_WP_001228253.1_1160	lcl|CP000036.1_prot_ABB65678.1_943,lcl|CP000036.1_prot_ABB65832.1_1097,lcl|CP000036.1_prot_ABB66233.1_1501	lcl|NC_011751.1_prot_WP_001230343.1_1798,lcl|NC_011751.1_prot_WP_001233148.1_1344
8	16	0.752	lcl|AP010960.1_prot_BAI37918.1_4146,lcl|AP010960.1_prot_BAI38542.1_4796	lcl|NC_004337.2_prot_NP_709113.2_3043,lcl|NC_004337.2_prot_NP_709775.1_3688	lcl|NC_000913.3_prot_NP_417798.1_3274,lcl|NC_000913.3_prot_NP_418407.1_3899	lcl|CP003109.1_prot_AEZ42418.1_3783,lcl|CP003109.1_prot_AEZ43130.1_4495	lcl|NC_011415.1_prot_WP_000031783.1_3599,lcl|NC_011415.1_prot_WP_000031784.1_4254	lcl|NC_010498.1_prot_WP_000031783.1_3495,lcl|NC_010498.1_prot_WP_000031784.1_4249	lcl|CP000036.1_prot_ABB67808.1_3076,lcl|CP000036.1_prot_ABB68441.1_3709	lcl|NC_011751.1_prot_WP_000031783.1_3738,lcl|NC_011751.1_prot_WP_000031784.1_4420
8	16	0.749	lcl|AP010960.1_prot_BAI35784.1_1883,lcl|AP010960.1_prot_BAI38094.1_4331	lcl|NC_004337.2_prot_NP_707602.2_1586,lcl|NC_004337.2_prot_NP_709338.2_3267	lcl|NC_000913.3_prot_NP_416010.1_1479,lcl|NC_000913.3_prot_NP_417974.1_3455	lcl|CP003109.1_prot_AEZ40405.1_1770,lcl|CP003109.1_prot_AEZ42623.1_3988	lcl|NC_011415.1_prot_WP_000358930.1_1574,lcl|NC_011415.1_prot_WP_000372240.1_3784	lcl|NC_010498.1_prot_WP_000358930.1_1623,lcl|NC_010498.1_prot_WP_000372259.1_3688	lcl|CP000036.1_prot_ABB66175.1_1443,lcl|CP000036.1_prot_ABB68000.1_3268	lcl|NC_011751.1_prot_WP_000358933.1_1727,lcl|NC_011751.1_prot_WP_000372259.1_3955
8	10	0.275	lcl|AP010960.1_prot_BAI34019.1_15,lcl|AP010960.1_prot_BAI34020.1_16	lcl|NC_004337.2_prot_YP_008439227.1_15	lcl|NC_000913.3_prot_NP_414559.1_17,lcl|NC_000913.3_prot_YP_025292.1_18	lcl|CP003109.1_prot_AEZ38649.1_14	lcl|NC_011415.1_prot_WP_000809168.1_15	lcl|NC_010498.1_prot_WP_000809168.1_15	lcl|CP000036.1_prot_ABB64753.1_16	lcl|NC_011751.1_prot_WP_000809168.1_15
8	9	0.714	lcl|AP010960.1_prot_BAI34029.1_28	lcl|NC_004337.2_prot_NP_705983.1_25,lcl|NC_004337.2_prot_NP_705984.1_26	lcl|NC_000913.3_prot_NP_414569.1_28	lcl|CP003109.1_prot_AEZ38662.1_27	lcl|NC_011415.1_prot_WP_000004655.1_26	lcl|NC_010498.1_prot_WP_000004655.1_28	lcl|CP000036.1_prot_ABB64763.1_26	lcl|NC_011751.1_prot_WP_000004655.1_28
8	9	0.708	lcl|AP010960.1_prot_BAI35450.1_1523	lcl|NC_004337.2_prot_NP_707092.1_1093,lcl|NC_004337.2_prot_NP_707095.1_1096	lcl|NC_000913.3_prot_NP_415712.1_1170	lcl|CP003109.1_prot_AEZ40020.1_1385	lcl|NC_011415.1_prot_WP_000020161.1_1231	lcl|NC_010498.1_prot_WP_000020130.1_1898	lcl|CP000036.1_prot_ABB66474.1_1742	lcl|NC_011751.1_prot_WP_000020142.1_1471
8	9	0.706	lcl|AP010960.1_prot_BAI35451.1_1524	lcl|NC_004337.2_prot_NP_707093.1_1094,lcl|NC_004337.2_prot_NP_707096.2_1097	lcl|NC_000913.3_prot_NP_415713.1_1171	lcl|CP003109.1_prot_AEZ40021.1_1386	lcl|NC_011415.1_prot_WP_000511315.1_1232	lcl|NC_010498.1_prot_WP_000511315.1_1897	lcl|CP000036.1_prot_ABB66473.1_1741	lcl|NC_011751.1_prot_WP_000511315.1_1472
8	9	0.667	lcl|AP010960.1_prot_BAI37498.1_3708	lcl|NC_004337.2_prot_NP_708728.1_2671	lcl|NC_000913.3_prot_NP_417432.1_2908	lcl|CP003109.1_prot_AEZ42011.1_3376	lcl|NC_011415.1_prot_WP_000394125.1_3236	lcl|NC_010498.1_prot_WP_000394125.1_3001,lcl|NC_010498.1_prot_WP_001012364.1_1079	lcl|CP000036.1_prot_ABB67539.1_2807	lcl|NC_011751.1_prot_WP_000394103.1_3274
8	9	0.658	lcl|AP010960.1_prot_BAI34150.1_151	lcl|NC_004337.2_prot_NP_706097.2_136	lcl|NC_000913.3_prot_NP_414691.1_149,lcl|NC_000913.3_prot_YP_010051172.1_150	lcl|CP003109.1_prot_AEZ38779.1_144	lcl|NC_011415.1_prot_WP_000918166.1_147	lcl|NC_010498.1_prot_WP_000918186.1_161	lcl|CP000036.1_prot_ABB64868.1_132	lcl|NC_011751.1_prot_WP_000918166.1_151
