# Species	Genes	Alg.-Conn.	L1:115.fasta	L1:1322:p2.fasta	L1:224.fasta	L1:440:LN.fasta	L2:25667R.fasta	L2:434:Bu.fasta	L2b:8200:07.fasta	L2b:Ams1.fasta	L2b:Ams2.fasta	L2b:Ams3.fasta	L2b:Ams4.fasta	L2b:Ams5.fasta	L2b:CV204.fasta	L2b:Canada1.fasta	L2b:Canada2.fasta	L2b:LST.fasta	L2b:UCH-2.fasta	L3:404:LN.fasta
18	18	1	lcl|NC_020929.1_prot_L1115_RS00595_117	lcl|NC_020972.1_prot_L11322_RS00600_117	lcl|NC_020973.1_prot_L1224_RS00595_117	lcl|NC_020937.1_prot_L1440_RS00595_117	lcl|NC_020930.1_prot_L225667R_RS00595_117	lcl|NC_010287.1_prot_CTL_RS01935_367	lcl|NC_020945.1_prot_L2B8200_RS00595_117	lcl|NC_020933.1_prot_L2BAMS1_RS00595_117	lcl|NC_020934.1_prot_L2BAMS2_RS00595_117	lcl|NC_020977.1_prot_L2BAMS3_RS00600_117	lcl|NC_020978.1_prot_L2BAMS4_RS00595_117	lcl|NC_020936.1_prot_L2BAMS5_RS00595_117	lcl|NC_020976.1_prot_L2BCV204_RS00595_118	lcl|NC_020935.1_prot_L2BCAN1_RS00595_117	lcl|NC_020932.1_prot_L2BCAN2_RS00600_117	lcl|NC_020975.1_prot_L2BLST_RS00595_118	lcl|NC_020931.1_prot_L2BUCH2_RS00595_117	lcl|NC_020974.1_prot_L3404_RS00595_117
18	18	1	lcl|NC_020929.1_prot_L1115_RS00840_164	lcl|NC_020972.1_prot_L11322_RS00845_164	lcl|NC_020973.1_prot_L1224_RS00840_164	lcl|NC_020937.1_prot_L1440_RS00840_164	lcl|NC_020930.1_prot_L225667R_RS00840_164	lcl|NC_010287.1_prot_CTL_RS02190_414	lcl|NC_020945.1_prot_L2B8200_RS00845_164	lcl|NC_020933.1_prot_L2BAMS1_RS00845_164	lcl|NC_020934.1_prot_L2BAMS2_RS00845_164	lcl|NC_020977.1_prot_L2BAMS3_RS00850_164	lcl|NC_020978.1_prot_L2BAMS4_RS00845_164	lcl|NC_020936.1_prot_L2BAMS5_RS00845_164	lcl|NC_020976.1_prot_L2BCV204_RS00845_165	lcl|NC_020935.1_prot_L2BCAN1_RS00845_164	lcl|NC_020932.1_prot_L2BCAN2_RS00850_164	lcl|NC_020975.1_prot_L2BLST_RS00845_165	lcl|NC_020931.1_prot_L2BUCH2_RS00845_164	lcl|NC_020974.1_prot_L3404_RS00840_164
18	18	1	lcl|NC_020929.1_prot_WP_009871348.1_3	lcl|NC_020972.1_prot_WP_009871348.1_3	lcl|NC_020973.1_prot_WP_009871348.1_3	lcl|NC_020937.1_prot_WP_009871348.1_3	lcl|NC_020930.1_prot_WP_009871348.1_3	lcl|NC_010287.1_prot_WP_009871348.1_253	lcl|NC_020945.1_prot_WP_009871348.1_3	lcl|NC_020933.1_prot_WP_009871348.1_3	lcl|NC_020934.1_prot_WP_009871348.1_3	lcl|NC_020977.1_prot_WP_009871348.1_3	lcl|NC_020978.1_prot_WP_009871348.1_3	lcl|NC_020936.1_prot_WP_009871348.1_3	lcl|NC_020976.1_prot_WP_009871348.1_3	lcl|NC_020935.1_prot_WP_009871348.1_3	lcl|NC_020932.1_prot_WP_009871348.1_3	lcl|NC_020975.1_prot_WP_009871348.1_3	lcl|NC_020931.1_prot_WP_009871348.1_3	lcl|NC_020974.1_prot_WP_009871348.1_3
18	18	1	lcl|NC_020929.1_prot_WP_009871378.1_32	lcl|NC_020972.1_prot_WP_009871378.1_32	lcl|NC_020973.1_prot_WP_009871378.1_32	lcl|NC_020937.1_prot_WP_009871378.1_32	lcl|NC_020930.1_prot_WP_009871378.1_32	lcl|NC_010287.1_prot_WP_009871378.1_282	lcl|NC_020945.1_prot_WP_009871378.1_32	lcl|NC_020933.1_prot_WP_009871378.1_32	lcl|NC_020934.1_prot_WP_009871378.1_32	lcl|NC_020977.1_prot_WP_009871378.1_32	lcl|NC_020978.1_prot_WP_009871378.1_32	lcl|NC_020936.1_prot_WP_009871378.1_32	lcl|NC_020976.1_prot_WP_009871378.1_32	lcl|NC_020935.1_prot_WP_009871378.1_32	lcl|NC_020932.1_prot_WP_009871378.1_32	lcl|NC_020975.1_prot_WP_009871378.1_32	lcl|NC_020931.1_prot_WP_009871378.1_32	lcl|NC_020974.1_prot_WP_009871378.1_32
18	18	1	lcl|NC_020929.1_prot_WP_009871670.1_325	lcl|NC_020972.1_prot_WP_009871670.1_325	lcl|NC_020973.1_prot_WP_009871670.1_325	lcl|NC_020937.1_prot_WP_009871670.1_324	lcl|NC_020930.1_prot_WP_009871670.1_325	lcl|NC_010287.1_prot_WP_009871670.1_575	lcl|NC_020945.1_prot_WP_009871670.1_325	lcl|NC_020933.1_prot_WP_009871670.1_325	lcl|NC_020934.1_prot_WP_009871670.1_325	lcl|NC_020977.1_prot_WP_009871670.1_324	lcl|NC_020978.1_prot_WP_009871670.1_325	lcl|NC_020936.1_prot_WP_009871670.1_325	lcl|NC_020976.1_prot_WP_009871670.1_326	lcl|NC_020935.1_prot_WP_009871670.1_325	lcl|NC_020932.1_prot_WP_009871670.1_324	lcl|NC_020975.1_prot_WP_009871670.1_326	lcl|NC_020931.1_prot_WP_009871670.1_325	lcl|NC_020974.1_prot_WP_009871670.1_325
18	18	1	lcl|NC_020929.1_prot_WP_009871680.1_334	lcl|NC_020972.1_prot_WP_009871680.1_334	lcl|NC_020973.1_prot_WP_009871680.1_335	lcl|NC_020937.1_prot_WP_009871680.1_334	lcl|NC_020930.1_prot_WP_009871680.1_335	lcl|NC_010287.1_prot_WP_009871680.1_585	lcl|NC_020945.1_prot_WP_009871680.1_334	lcl|NC_020933.1_prot_WP_009871680.1_334	lcl|NC_020934.1_prot_WP_009871680.1_334	lcl|NC_020977.1_prot_WP_009871680.1_333	lcl|NC_020978.1_prot_WP_009871680.1_334	lcl|NC_020936.1_prot_WP_009871680.1_334	lcl|NC_020976.1_prot_WP_009871680.1_335	lcl|NC_020935.1_prot_WP_009871680.1_334	lcl|NC_020932.1_prot_WP_009871680.1_333	lcl|NC_020975.1_prot_WP_009871680.1_335	lcl|NC_020931.1_prot_WP_009871680.1_334	lcl|NC_020974.1_prot_WP_009871680.1_335
18	18	1	lcl|NC_020929.1_prot_WP_009871693.1_347	lcl|NC_020972.1_prot_WP_009871693.1_347	lcl|NC_020973.1_prot_WP_009871693.1_348	lcl|NC_020937.1_prot_WP_009871693.1_347	lcl|NC_020930.1_prot_WP_009871693.1_348	lcl|NC_010287.1_prot_WP_009871693.1_598	lcl|NC_020945.1_prot_WP_009871693.1_347	lcl|NC_020933.1_prot_WP_009871693.1_347	lcl|NC_020934.1_prot_WP_009871693.1_347	lcl|NC_020977.1_prot_WP_009871693.1_346	lcl|NC_020978.1_prot_WP_009871693.1_347	lcl|NC_020936.1_prot_WP_009871693.1_347	lcl|NC_020976.1_prot_WP_009871693.1_348	lcl|NC_020935.1_prot_WP_009871693.1_347	lcl|NC_020932.1_prot_WP_009871693.1_346	lcl|NC_020975.1_prot_WP_009871693.1_348	lcl|NC_020931.1_prot_WP_009871693.1_347	lcl|NC_020974.1_prot_WP_009871693.1_348
18	18	1	lcl|NC_020929.1_prot_WP_009872000.1_648	lcl|NC_020972.1_prot_WP_009872000.1_648	lcl|NC_020973.1_prot_WP_009872000.1_649	lcl|NC_020937.1_prot_WP_009872000.1_647	lcl|NC_020930.1_prot_WP_009872000.1_649	lcl|NC_010287.1_prot_WP_009872000.1_899	lcl|NC_020945.1_prot_WP_009872000.1_648	lcl|NC_020933.1_prot_WP_009872000.1_648	lcl|NC_020934.1_prot_WP_009872000.1_649	lcl|NC_020977.1_prot_WP_009872000.1_647	lcl|NC_020978.1_prot_WP_009872000.1_649	lcl|NC_020936.1_prot_WP_009872000.1_648	lcl|NC_020976.1_prot_WP_009872000.1_649	lcl|NC_020935.1_prot_WP_009872000.1_648	lcl|NC_020932.1_prot_WP_009872000.1_647	lcl|NC_020975.1_prot_WP_009872000.1_649	lcl|NC_020931.1_prot_WP_009872000.1_648	lcl|NC_020974.1_prot_WP_009872000.1_648
18	18	1	lcl|NC_020929.1_prot_WP_009872024.1_670	lcl|NC_020972.1_prot_WP_009872024.1_670	lcl|NC_020973.1_prot_WP_009872024.1_671	lcl|NC_020937.1_prot_WP_009872024.1_669	lcl|NC_020930.1_prot_WP_009872024.1_671	lcl|NC_010287.1_prot_WP_009872024.1_21	lcl|NC_020945.1_prot_WP_009872024.1_670	lcl|NC_020933.1_prot_WP_009872024.1_670	lcl|NC_020934.1_prot_WP_009872024.1_671	lcl|NC_020977.1_prot_WP_009872024.1_669	lcl|NC_020978.1_prot_WP_009872024.1_671	lcl|NC_020936.1_prot_WP_009872024.1_670	lcl|NC_020976.1_prot_WP_009872024.1_671	lcl|NC_020935.1_prot_WP_009872024.1_670	lcl|NC_020932.1_prot_WP_009872024.1_669	lcl|NC_020975.1_prot_WP_009872024.1_671	lcl|NC_020931.1_prot_WP_009872024.1_670	lcl|NC_020974.1_prot_WP_009872024.1_670
18	18	1	lcl|NC_020929.1_prot_WP_009872238.1_872	lcl|NC_020972.1_prot_WP_009872238.1_874	lcl|NC_020973.1_prot_WP_009872238.1_875	lcl|NC_020937.1_prot_WP_009872238.1_871	lcl|NC_020930.1_prot_WP_009872238.1_873	lcl|NC_010287.1_prot_WP_009872238.1_224	lcl|NC_020945.1_prot_WP_009872238.1_872	lcl|NC_020933.1_prot_WP_009872238.1_872	lcl|NC_020934.1_prot_WP_009872238.1_874	lcl|NC_020977.1_prot_WP_009872238.1_873	lcl|NC_020978.1_prot_WP_009872238.1_874	lcl|NC_020936.1_prot_WP_009872238.1_872	lcl|NC_020976.1_prot_WP_009872238.1_877	lcl|NC_020935.1_prot_WP_009872238.1_872	lcl|NC_020932.1_prot_WP_009872238.1_872	lcl|NC_020975.1_prot_WP_009872238.1_875	lcl|NC_020931.1_prot_WP_009872238.1_872	lcl|NC_020974.1_prot_WP_009872238.1_872
