# Species	Genes	Alg.-Conn.	A:363.fasta	A:5291.fasta	A:HAR-13.fasta	B_TZ1A828_OT.fasta	D:SotonD5.fasta	D:SotonD6.fasta	G:11074.fasta	G:11222.fasta	G:9301.fasta	G:9768.fasta	G:SotonG1.fasta	K:SotonK1.fasta
12	12	0.976	lcl|NC_020966.1_prot_WP_009871685.1_341	lcl|NC_020939.1_prot_WP_009871685.1_340	lcl|NC_007429.1_prot_WP_009871685.1_344	lcl|NC_012687.1_prot_WP_009871685.1_342	lcl|NC_020943.1_prot_WP_009871685.1_342	lcl|NC_020968.1_prot_WP_009871685.1_343	lcl|CP001889.1_prot_ADH19874.1_339	lcl|CP001888.1_prot_ADH18949.1_341	lcl|CP001930.1_prot_ADH96970.1_339	lcl|CP001887.1_prot_ADH18027.1_339	lcl|HE601807.1_prot_CCP57902.1_337	lcl|NC_020965.1_prot_WP_009871685.1_342
12	12	0.975	lcl|NC_020966.1_prot_WP_009871760.1_418	lcl|NC_020939.1_prot_WP_009871760.1_417	lcl|NC_007429.1_prot_WP_009871760.1_421	lcl|NC_012687.1_prot_WP_009871760.1_419	lcl|NC_020943.1_prot_WP_009871760.1_419	lcl|NC_020968.1_prot_WP_009871760.1_420	lcl|CP001889.1_prot_ADH19951.1_416	lcl|CP001888.1_prot_ADH19026.1_418	lcl|CP001930.1_prot_ADH97048.1_417	lcl|CP001887.1_prot_ADH18103.1_415	lcl|HE601807.1_prot_CCP57978.1_413	lcl|NC_020965.1_prot_WP_009871760.1_419
12	12	0.974	lcl|NC_020966.1_prot_WP_009871778.1_436	lcl|NC_020939.1_prot_WP_009871778.1_435	lcl|NC_007429.1_prot_WP_009871778.1_439	lcl|NC_012687.1_prot_WP_009871778.1_437	lcl|NC_020943.1_prot_WP_009871778.1_437	lcl|NC_020968.1_prot_WP_009871778.1_438	lcl|CP001889.1_prot_ADH19969.1_434	lcl|CP001888.1_prot_ADH19044.1_436	lcl|CP001930.1_prot_ADH97066.1_435	lcl|CP001887.1_prot_ADH18121.1_433	lcl|HE601807.1_prot_CCP57996.1_431	lcl|NC_020965.1_prot_WP_009871778.1_437
12	12	0.973	lcl|NC_020966.1_prot_WP_009871465.1_120	lcl|NC_020939.1_prot_WP_009871465.1_120	lcl|NC_007429.1_prot_WP_009871465.1_121	lcl|NC_012687.1_prot_WP_012728051.1_121	lcl|NC_020943.1_prot_WP_009871465.1_120	lcl|NC_020968.1_prot_WP_009871465.1_121	lcl|CP001889.1_prot_ADH19655.1_120	lcl|CP001888.1_prot_ADH18727.1_119	lcl|CP001930.1_prot_ADH96751.1_120	lcl|CP001887.1_prot_ADH17808.1_120	lcl|HE601807.1_prot_CCP57681.1_116	lcl|NC_020965.1_prot_WP_009871465.1_120
12	12	0.972	lcl|NC_020966.1_prot_WP_009871858.1_512	lcl|NC_020939.1_prot_WP_009871858.1_511	lcl|NC_007429.1_prot_WP_009871858.1_515	lcl|NC_012687.1_prot_WP_009871858.1_513	lcl|NC_020943.1_prot_WP_009871858.1_514	lcl|NC_020968.1_prot_WP_009871858.1_514	lcl|CP001889.1_prot_ADH20049.1_514	lcl|CP001888.1_prot_ADH19125.1_517	lcl|CP001930.1_prot_ADH97146.1_515	lcl|CP001887.1_prot_ADH18201.1_513	lcl|HE601807.1_prot_CCP58071.1_506	lcl|NC_020965.1_prot_WP_009871858.1_514
12	12	0.972	lcl|NC_020966.1_prot_WP_009871914.1_567	lcl|NC_020939.1_prot_WP_009871914.1_566	lcl|NC_007429.1_prot_WP_009871914.1_570	lcl|NC_012687.1_prot_WP_009871914.1_568	lcl|NC_020943.1_prot_WP_009871914.1_569	lcl|NC_020968.1_prot_WP_009871914.1_569	lcl|CP001889.1_prot_ADH20105.1_570	lcl|CP001888.1_prot_ADH19181.1_573	lcl|CP001930.1_prot_ADH97202.1_571	lcl|CP001887.1_prot_ADH18257.1_569	lcl|HE601807.1_prot_CCP58125.1_560	lcl|NC_020965.1_prot_WP_009871914.1_569
12	12	0.972	lcl|NC_020966.1_prot_WP_009872221.1_858	lcl|NC_020939.1_prot_WP_009872221.1_857	lcl|NC_007429.1_prot_WP_009872221.1_863	lcl|NC_012687.1_prot_WP_009872221.1_860	lcl|NC_020943.1_prot_WP_009872221.1_860	lcl|NC_020968.1_prot_WP_009872221.1_862	lcl|CP001889.1_prot_ADH20410.1_875	lcl|CP001888.1_prot_ADH19491.1_883	lcl|CP001930.1_prot_ADH97508.1_877	lcl|CP001887.1_prot_ADH18564.1_876	lcl|HE601807.1_prot_CCP58414.1_849	lcl|NC_020965.1_prot_WP_009872221.1_860
12	12	0.972	lcl|NC_020966.1_prot_WP_009872341.1_46	lcl|NC_020939.1_prot_WP_009872341.1_46	lcl|NC_007429.1_prot_WP_009872341.1_46	lcl|NC_012687.1_prot_WP_009872341.1_46	lcl|NC_020943.1_prot_WP_015506286.1_46	lcl|NC_020968.1_prot_WP_009872341.1_46	lcl|CP001889.1_prot_ADH19582.1_47	lcl|CP001888.1_prot_ADH18655.1_47	lcl|CP001930.1_prot_ADH96678.1_47	lcl|CP001887.1_prot_ADH17735.1_47	lcl|HE601807.1_prot_CCP57609.1_44	lcl|NC_020965.1_prot_WP_009872341.1_46
12	12	0.972	lcl|NC_020966.1_prot_WP_009872407.1_143	lcl|NC_020939.1_prot_WP_009872407.1_143	lcl|NC_007429.1_prot_WP_011324591.1_144	lcl|NC_012687.1_prot_WP_009872407.1_144	lcl|NC_020943.1_prot_WP_009872407.1_143	lcl|NC_020968.1_prot_WP_009872407.1_144	lcl|CP001889.1_prot_ADH19678.1_143	lcl|CP001888.1_prot_ADH18750.1_142	lcl|CP001930.1_prot_ADH96774.1_143	lcl|CP001887.1_prot_ADH17831.1_143	lcl|HE601807.1_prot_CCP57704.1_139	lcl|NC_020965.1_prot_WP_009872407.1_143
12	12	0.971	lcl|NC_020966.1_prot_WP_009872236.1_872	lcl|NC_020939.1_prot_WP_009872236.1_871	lcl|NC_007429.1_prot_WP_009872236.1_877	lcl|NC_012687.1_prot_WP_009872236.1_874	lcl|NC_020943.1_prot_WP_009872236.1_874	lcl|NC_020968.1_prot_WP_009872236.1_876	lcl|CP001889.1_prot_ADH20425.1_890	lcl|CP001888.1_prot_ADH19506.1_898	lcl|CP001930.1_prot_ADH97523.1_892	lcl|CP001887.1_prot_ADH18579.1_891	lcl|HE601807.1_prot_CCP58428.1_863	lcl|NC_020965.1_prot_WP_009872236.1_874
12	12	0.97	lcl|NC_020966.1_prot_WP_009871670.1_326	lcl|NC_020939.1_prot_WP_009871670.1_325	lcl|NC_007429.1_prot_WP_009871670.1_329	lcl|NC_012687.1_prot_WP_009871670.1_327	lcl|NC_020943.1_prot_WP_009871670.1_327	lcl|NC_020968.1_prot_WP_009871670.1_328	lcl|CP001889.1_prot_ADH19860.1_325	lcl|CP001888.1_prot_ADH18934.1_326	lcl|CP001930.1_prot_ADH96956.1_325	lcl|CP001887.1_prot_ADH18013.1_325	lcl|HE601807.1_prot_CCP57886.1_321	lcl|NC_020965.1_prot_WP_009871670.1_327
12	12	0.97	lcl|NC_020966.1_prot_WP_009871950.1_601	lcl|NC_020939.1_prot_WP_009871950.1_600	lcl|NC_007429.1_prot_WP_009871950.1_604	lcl|NC_012687.1_prot_WP_009871950.1_602	lcl|NC_020943.1_prot_WP_009871950.1_603	lcl|NC_020968.1_prot_WP_009871950.1_604	lcl|CP001889.1_prot_ADH20139.1_604	lcl|CP001888.1_prot_ADH19217.1_609	lcl|CP001930.1_prot_ADH97238.1_607	lcl|CP001887.1_prot_ADH18292.1_604	lcl|HE601807.1_prot_CCP58160.1_595	lcl|NC_020965.1_prot_WP_009871950.1_603
12	12	0.969	lcl|NC_020966.1_prot_WP_009871488.1_144	lcl|NC_020939.1_prot_WP_009871488.1_144	lcl|NC_007429.1_prot_WP_011324592.1_145	lcl|NC_012687.1_prot_WP_009871488.1_145	lcl|NC_020943.1_prot_WP_009871488.1_144	lcl|NC_020968.1_prot_WP_009871488.1_145	lcl|CP001889.1_prot_ADH19679.1_144	lcl|CP001888.1_prot_ADH18751.1_143	lcl|CP001930.1_prot_ADH96775.1_144	lcl|CP001887.1_prot_ADH17832.1_144	lcl|HE601807.1_prot_CCP57705.1_140	lcl|NC_020965.1_prot_WP_009871488.1_144
12	12	0.969	lcl|NC_020966.1_prot_WP_009871496.1_152	lcl|NC_020939.1_prot_WP_009871496.1_152	lcl|NC_007429.1_prot_WP_009871496.1_153	lcl|NC_012687.1_prot_WP_009871496.1_153	lcl|NC_020943.1_prot_WP_009871496.1_152	lcl|NC_020968.1_prot_WP_009871496.1_153	lcl|CP001889.1_prot_ADH19687.1_152	lcl|CP001888.1_prot_ADH18759.1_151	lcl|CP001930.1_prot_ADH96783.1_152	lcl|CP001887.1_prot_ADH17840.1_152	lcl|HE601807.1_prot_CCP57713.1_148	lcl|NC_020965.1_prot_WP_009871496.1_152
12	12	0.969	lcl|NC_020966.1_prot_WP_009871542.1_198	lcl|NC_020939.1_prot_WP_009871542.1_197	lcl|NC_007429.1_prot_WP_009871542.1_201	lcl|NC_012687.1_prot_WP_009871542.1_199	lcl|NC_020943.1_prot_WP_009871542.1_199	lcl|NC_020968.1_prot_WP_009871542.1_200	lcl|CP001889.1_prot_ADH19732.1_197	lcl|CP001888.1_prot_ADH18805.1_197	lcl|CP001930.1_prot_ADH96828.1_197	lcl|CP001887.1_prot_ADH17885.1_197	lcl|HE601807.1_prot_CCP57759.1_194	lcl|NC_020965.1_prot_WP_009871542.1_199
12	12	0.969	lcl|NC_020966.1_prot_WP_009871687.1_343	lcl|NC_020939.1_prot_WP_009871687.1_342	lcl|NC_007429.1_prot_WP_009871687.1_346	lcl|NC_012687.1_prot_WP_009871687.1_344	lcl|NC_020943.1_prot_WP_009871687.1_344	lcl|NC_020968.1_prot_WP_009871687.1_345	lcl|CP001889.1_prot_ADH19876.1_341	lcl|CP001888.1_prot_ADH18951.1_343	lcl|CP001930.1_prot_ADH96972.1_341	lcl|CP001887.1_prot_ADH18029.1_341	lcl|HE601807.1_prot_CCP57904.1_339	lcl|NC_020965.1_prot_WP_009871687.1_344
12	12	0.969	lcl|NC_020966.1_prot_WP_009871864.1_517	lcl|NC_020939.1_prot_WP_009871864.1_516	lcl|NC_007429.1_prot_WP_009871864.1_520	lcl|NC_012687.1_prot_WP_009871864.1_518	lcl|NC_020943.1_prot_WP_010725218.1_519	lcl|NC_020968.1_prot_WP_010725218.1_519	lcl|CP001889.1_prot_ADH20055.1_520	lcl|CP001888.1_prot_ADH19131.1_523	lcl|CP001930.1_prot_ADH97152.1_521	lcl|CP001887.1_prot_ADH18207.1_519	lcl|HE601807.1_prot_CCP58075.1_510	lcl|NC_020965.1_prot_WP_010725218.1_519
12	12	0.969	lcl|NC_020966.1_prot_WP_009871903.1_556	lcl|NC_020939.1_prot_WP_009871903.1_555	lcl|NC_007429.1_prot_WP_009871903.1_559	lcl|NC_012687.1_prot_WP_009871903.1_557	lcl|NC_020943.1_prot_WP_009871903.1_558	lcl|NC_020968.1_prot_WP_009871903.1_558	lcl|CP001889.1_prot_ADH20094.1_559	lcl|CP001888.1_prot_ADH19170.1_562	lcl|CP001930.1_prot_ADH97191.1_560	lcl|CP001887.1_prot_ADH18246.1_558	lcl|HE601807.1_prot_CCP58114.1_549	lcl|NC_020965.1_prot_WP_009871903.1_558
12	12	0.969	lcl|NC_020966.1_prot_WP_009872985.1_891	lcl|NC_020939.1_prot_WP_009872985.1_890	lcl|NC_007429.1_prot_WP_009872985.1_896	lcl|NC_012687.1_prot_WP_009872985.1_893	lcl|NC_020943.1_prot_WP_009872255.1_893	lcl|NC_020968.1_prot_WP_014541783.1_895	lcl|CP001889.1_prot_ADH20444.1_909	lcl|CP001888.1_prot_ADH19525.1_917	lcl|CP001930.1_prot_ADH97542.1_911	lcl|CP001887.1_prot_ADH18598.1_910	lcl|HE601807.1_prot_CCP58447.1_882	lcl|NC_020965.1_prot_WP_014541783.1_893
12	12	0.969	lcl|NC_020966.1_prot_WP_010725133.1_248	lcl|NC_020939.1_prot_WP_010725133.1_247	lcl|NC_007429.1_prot_WP_010725133.1_251	lcl|NC_012687.1_prot_WP_010725133.1_249	lcl|NC_020943.1_prot_WP_010725133.1_249	lcl|NC_020968.1_prot_WP_010725133.1_250	lcl|CP001889.1_prot_ADH19782.1_247	lcl|CP001888.1_prot_ADH18855.1_247	lcl|CP001930.1_prot_ADH96878.1_247	lcl|CP001887.1_prot_ADH17935.1_247	lcl|HE601807.1_prot_CCP57808.1_243	lcl|NC_020965.1_prot_WP_010725133.1_249
12	12	0.969	lcl|NC_020966.1_prot_WP_011324778.1_595	lcl|NC_020939.1_prot_WP_011324778.1_594	lcl|NC_007429.1_prot_WP_011324778.1_598	lcl|NC_012687.1_prot_WP_011324778.1_596	lcl|NC_020943.1_prot_WP_009871943.1_597	lcl|NC_020968.1_prot_WP_014541037.1_598	lcl|CP001889.1_prot_ADH20133.1_598	lcl|CP001888.1_prot_ADH19210.1_602	lcl|CP001930.1_prot_ADH97231.1_600	lcl|CP001887.1_prot_ADH18286.1_598	lcl|HE601807.1_prot_CCP58154.1_589	lcl|NC_020965.1_prot_WP_014541037.1_597
12	12	0.969	lcl|NC_020966.1_prot_WP_011324816.1_694	lcl|NC_020939.1_prot_WP_011324816.1_693	lcl|NC_007429.1_prot_WP_011324816.1_697	lcl|NC_012687.1_prot_WP_012728172.1_695	lcl|NC_020943.1_prot_WP_010725298.1_696	lcl|NC_020968.1_prot_WP_010725298.1_697	lcl|CP001889.1_prot_ADH20236.1_701	lcl|CP001888.1_prot_ADH19313.1_705	lcl|CP001930.1_prot_ADH97334.1_703	lcl|CP001887.1_prot_ADH18389.1_701	lcl|HE601807.1_prot_CCP58252.1_687	lcl|NC_020965.1_prot_WP_015506412.1_696
12	12	0.969	lcl|NC_020966.1_prot_WP_012727969.1_684	lcl|NC_020939.1_prot_WP_012727969.1_683	lcl|NC_007429.1_prot_WP_011324813.1_687	lcl|NC_012687.1_prot_WP_012727969.1_685	lcl|NC_020943.1_prot_WP_015506190.1_686	lcl|NC_020968.1_prot_WP_014541051.1_687	lcl|CP001889.1_prot_ADH20226.1_691	lcl|CP001888.1_prot_ADH19303.1_695	lcl|CP001930.1_prot_ADH97324.1_693	lcl|CP001887.1_prot_ADH18379.1_691	lcl|HE601807.1_prot_CCP58242.1_677	lcl|NC_020965.1_prot_WP_015506410.1_686
12	12	0.969	lcl|NC_020966.1_prot_WP_014316043.1_619	lcl|NC_020939.1_prot_WP_014316043.1_618	lcl|NC_007429.1_prot_WP_011324788.1_622	lcl|NC_012687.1_prot_WP_011324788.1_620	lcl|NC_020943.1_prot_WP_009871968.1_621	lcl|NC_020968.1_prot_WP_009871968.1_622	lcl|CP001889.1_prot_ADH20157.1_622	lcl|CP001888.1_prot_ADH19234.1_626	lcl|CP001930.1_prot_ADH97256.1_625	lcl|CP001887.1_prot_ADH18310.1_622	lcl|HE601807.1_prot_CCP58177.1_612	lcl|NC_020965.1_prot_WP_009871968.1_621
12	12	0.968	lcl|NC_020966.1_prot_WP_009871472.1_127	lcl|NC_020939.1_prot_WP_009871472.1_127	lcl|NC_007429.1_prot_WP_009871472.1_128	lcl|NC_012687.1_prot_WP_009871472.1_128	lcl|NC_020943.1_prot_WP_009871472.1_127	lcl|NC_020968.1_prot_WP_009871472.1_128	lcl|CP001889.1_prot_ADH19662.1_127	lcl|CP001888.1_prot_ADH18734.1_126	lcl|CP001930.1_prot_ADH96758.1_127	lcl|CP001887.1_prot_ADH17815.1_127	lcl|HE601807.1_prot_CCP57688.1_123	lcl|NC_020965.1_prot_WP_009871472.1_127
