# Species	Genes	Alg.-Conn.	11128.fasta	11368.fasta	12009.fasta	55989.fasta	ATCC8739.fasta	BW2952.fasta	DH10B.fasta	E24377A.fasta	HS.fasta	IAI1.fasta	MG1655.fasta	NCTC86.fasta	SE11.fasta	W3110.fasta
13	44	0.102	lcl|AP010960.1_prot_BAI35368.1_1433,lcl|AP010960.1_prot_BAI38628.1_4889,lcl|AP010960.1_prot_BAI35021.1_1071,lcl|AP010960.1_prot_BAI36288.1_2424,lcl|AP010960.1_prot_BAI36446.1_2586,lcl|AP010960.1_prot_BAI34750.1_788,lcl|AP010960.1_prot_BAI35909.1_2032,lcl|AP010960.1_prot_BAI36796.1_2965	lcl|AP010953.1_prot_BAI25445.1_2187,lcl|AP010953.1_prot_BAI23928.1_594,lcl|AP010953.1_prot_BAI24183.1_862,lcl|AP010953.1_prot_BAI25225.1_1947,lcl|AP010953.1_prot_BAI25883.1_2642,lcl|AP010953.1_prot_BAI26890.1_3693,lcl|AP010953.1_prot_BAI24787.1_1486,lcl|AP010953.1_prot_BAI25504.1_2253,lcl|AP010953.1_prot_BAI24904.1_1605,lcl|AP010953.1_prot_BAI24446.1_1130,lcl|AP010953.1_prot_BAI25093.1_1799,lcl|AP010953.1_prot_BAI26393.1_3184	lcl|AP010958.1_prot_BAI29396.1_529,lcl|AP010958.1_prot_BAI29625.1_771,lcl|AP010958.1_prot_BAI31048.1_2259,lcl|AP010958.1_prot_BAI31187.1_2402,lcl|AP010958.1_prot_BAI30033.1_1195,lcl|AP010958.1_prot_BAI30890.1_2093	lcl|NZ_CP028304.1_prot_WP_000839596.1_413	lcl|NZ_CP022959.1_prot_WP_000839590.1_2150	lcl|NC_012759.1_prot_WP_000839590.1_1471,lcl|NC_012759.1_prot_WP_000839596.1_464	lcl|NC_010473.1_prot_WP_000839590.1_1676,lcl|NC_010473.1_prot_WP_000839596.1_507,lcl|NC_010473.1_prot_WP_000839596.1_615	lcl|CP000800.1_prot_ABV20301.1_782,lcl|CP000800.1_prot_ABV18529.1_1677	*	lcl|NC_011741.1_prot_WP_000839590.1_1566,lcl|NC_011741.1_prot_WP_000839596.1_754	lcl|NC_000913.3_prot_NP_416074.4_1547,lcl|NC_000913.3_prot_NP_415086.1_543	lcl|NZ_CP019778.1_prot_WP_000839596.1_595	lcl|NC_011415.1_prot_WP_000839596.1_592,lcl|NC_011415.1_prot_WP_000839565.1_1419	lcl|AP009048.1_prot_BAA15255.2_1552,lcl|AP009048.1_prot_BAE76329.1_543
13	34	0.358	lcl|AP010960.1_prot_BAI35474.1_1547,lcl|AP010960.1_prot_BAI35472.1_1545,lcl|AP010960.1_prot_BAI35473.1_1546	lcl|AP010953.1_prot_BAI25028.1_1729,lcl|AP010953.1_prot_BAI25030.1_1731,lcl|AP010953.1_prot_BAI25029.1_1730	lcl|AP010958.1_prot_BAI30152.1_1318,lcl|AP010958.1_prot_BAI30153.1_1319,lcl|AP010958.1_prot_BAI30154.1_1320	lcl|NZ_CP028304.1_prot_WP_001531632.1_1535	lcl|NZ_CP022959.1_prot_WP_000170965.1_2501,lcl|NZ_CP022959.1_prot_WP_000170951.1_2503,lcl|NZ_CP022959.1_prot_WP_000170963.1_2502	lcl|NC_012759.1_prot_WP_000170955.1_1104,lcl|NC_012759.1_prot_WP_000170955.1_1106,lcl|NC_012759.1_prot_WP_000170963.1_1105	lcl|NC_010473.1_prot_WP_000170955.1_1256,lcl|NC_010473.1_prot_WP_000170955.1_1258,lcl|NC_010473.1_prot_WP_000170963.1_1257	lcl|CP000800.1_prot_ABV17185.1_1301,lcl|CP000800.1_prot_ABV18542.1_1300	*	lcl|NC_011741.1_prot_WP_000170965.1_1205	lcl|NC_000913.3_prot_YP_025297.1_1192,lcl|NC_000913.3_prot_YP_025299.1_1194,lcl|NC_000913.3_prot_YP_025298.1_1193	lcl|NZ_CP019778.1_prot_WP_000170955.1_1430,lcl|NZ_CP019778.1_prot_WP_000170955.1_1432,lcl|NZ_CP019778.1_prot_WP_000170963.1_1431	lcl|NC_011415.1_prot_WP_000170926.1_1254,lcl|NC_011415.1_prot_WP_000170954.1_1253,lcl|NC_011415.1_prot_WP_000170965.1_1255	lcl|AP009048.1_prot_BAE76392.1_1196,lcl|AP009048.1_prot_BAE76394.1_1198,lcl|AP009048.1_prot_BAE76393.1_1197
13	31	0.699	lcl|AP010960.1_prot_BAI34565.1_591	lcl|AP010953.1_prot_BAI23967.1_636	lcl|AP010958.1_prot_BAI29436.1_571	lcl|NZ_CP028304.1_prot_WP_000420759.1_1773	lcl|NZ_CP022959.1_prot_CJZ69_RS01260_241,lcl|NZ_CP022959.1_prot_CJZ69_RS18535_3542,lcl|NZ_CP022959.1_prot_WP_000420774.1_3207,lcl|NZ_CP022959.1_prot_WP_000420795.1_2282,lcl|NZ_CP022959.1_prot_WP_000420797.1_3070	lcl|NC_012759.1_prot_BWG_RS03180_613,lcl|NC_012759.1_prot_WP_000420980.1_3375,lcl|NC_012759.1_prot_WP_000421020.1_1369	lcl|NC_010473.1_prot_ECDH10B_RS03950_764,lcl|NC_010473.1_prot_WP_000420980.1_3591,lcl|NC_010473.1_prot_WP_000421020.1_1574	lcl|CP000800.1_prot_ABV18443.1_558	*	lcl|NC_011741.1_prot_ECIAI1_RS01235_232,lcl|NC_011741.1_prot_ECIAI1_RS01265_239,lcl|NC_011741.1_prot_WP_000420795.1_522	lcl|NC_000913.3_prot_NP_415977.1_1446,lcl|NC_000913.3_prot_NP_417941.1_3420	lcl|NZ_CP019778.1_prot_WP_000420980.1_3782,lcl|NZ_CP019778.1_prot_WP_000421020.1_1740,lcl|NZ_CP019778.1_prot_WP_068879433.1_2324,lcl|NZ_CP019778.1_prot_WP_068879476.1_238	lcl|NC_011415.1_prot_ECSE_RS01240_235,lcl|NC_011415.1_prot_WP_000420718.1_2322,lcl|NC_011415.1_prot_WP_000420798.1_1535,lcl|NC_011415.1_prot_WP_000420936.1_631	lcl|AP009048.1_prot_BAA15091.1_1456,lcl|AP009048.1_prot_BAE77809.1_3737
13	25	0.644	lcl|AP010960.1_prot_BAI37918.1_4146,lcl|AP010960.1_prot_BAI38542.1_4796	lcl|AP010953.1_prot_BAI27597.1_4427,lcl|AP010953.1_prot_BAI28240.1_5088	lcl|AP010958.1_prot_BAI32767.1_4057,lcl|AP010958.1_prot_BAI33424.1_4729	lcl|NZ_CP028304.1_prot_WP_208887317.1_3709	lcl|NZ_CP022959.1_prot_WP_000031783.1_387,lcl|NZ_CP022959.1_prot_WP_000031784.1_4202	lcl|NC_012759.1_prot_WP_000031783.1_3227,lcl|NC_012759.1_prot_WP_000031784.1_3868	lcl|NC_010473.1_prot_WP_000031783.1_3446,lcl|NC_010473.1_prot_WP_000031784.1_4083	lcl|CP000800.1_prot_ABV16458.1_3624,lcl|CP000800.1_prot_ABV20040.1_4302	*	lcl|NC_011741.1_prot_WP_000031783.1_3342,lcl|NC_011741.1_prot_WP_000031784.1_3997	lcl|NC_000913.3_prot_NP_417798.1_3274,lcl|NC_000913.3_prot_NP_418407.1_3899	lcl|NZ_CP019778.1_prot_WP_000031783.1_3638,lcl|NZ_CP019778.1_prot_WP_000031784.1_4295	lcl|NC_011415.1_prot_WP_000031783.1_3599,lcl|NC_011415.1_prot_WP_000031784.1_4254	lcl|AP009048.1_prot_BAE77340.1_3259,lcl|AP009048.1_prot_BAE77952.1_3881
13	25	0.46	lcl|AP010960.1_prot_BAI35727.1_1822,lcl|AP010960.1_prot_BAI36377.1_2514,lcl|AP010960.1_prot_BAI36165.1_2301	lcl|AP010953.1_prot_BAI25308.1_2031,lcl|AP010953.1_prot_BAI28509.1_5373,lcl|AP010953.1_prot_BAI25804.1_2563	lcl|AP010958.1_prot_BAI30387.1_1563,lcl|AP010958.1_prot_BAI30782.1_1983	lcl|NZ_CP028304.1_prot_WP_000826444.1_3769	lcl|NZ_CP022959.1_prot_WP_000826416.1_2307,lcl|NZ_CP022959.1_prot_WP_001705161.1_24	lcl|NC_012759.1_prot_WP_000826416.1_1340	lcl|NC_010473.1_prot_WP_000826416.1_1545	lcl|CP000800.1_prot_ABV18211.1_1535,lcl|CP000800.1_prot_ABV18430.1_1927,lcl|CP000800.1_prot_ABV19974.1_2068	*	lcl|NC_011741.1_prot_WP_001367946.1_4220,lcl|NC_011741.1_prot_WP_000826466.1_1394,lcl|NC_011741.1_prot_WP_001355765.1_1818	lcl|NC_000913.3_prot_NP_415949.3_1419	lcl|NZ_CP019778.1_prot_WP_071836823.1_1710	lcl|NC_011415.1_prot_WP_000826403.1_1505,lcl|NC_011415.1_prot_WP_000826403.1_2166,lcl|NC_011415.1_prot_WP_000826413.1_1969	lcl|AP009048.1_prot_BAA15060.2_1428
13	14	0.77	lcl|AP010960.1_prot_BAI34586.1_614	lcl|AP010953.1_prot_BAI23988.1_659	lcl|AP010958.1_prot_BAI29456.1_592	lcl|NZ_CP028304.1_prot_WP_000125858.1_733	lcl|NZ_CP022959.1_prot_WP_000125843.1_3185	lcl|NC_012759.1_prot_WP_000125843.1_498	lcl|NC_010473.1_prot_WP_000125843.1_541,lcl|NC_010473.1_prot_WP_000125843.1_649	lcl|CP000800.1_prot_ABV18744.1_578	*	lcl|NC_011741.1_prot_WP_000125810.1_546	lcl|NC_000913.3_prot_NP_415117.2_576	lcl|NZ_CP019778.1_prot_WP_000125843.1_657	lcl|NC_011415.1_prot_WP_000125810.1_656	lcl|AP009048.1_prot_BAA35226.2_576
13	14	0.752	lcl|AP010960.1_prot_ECO111_0634_634	lcl|AP010953.1_prot_BAI24007.1_678	lcl|AP010958.1_prot_BAI29475.1_611	lcl|NZ_CP028304.1_prot_WP_000029772.1_752	lcl|NZ_CP022959.1_prot_WP_000029825.1_3166	lcl|NC_012759.1_prot_WP_000029814.1_517	lcl|NC_010473.1_prot_WP_000029814.1_560,lcl|NC_010473.1_prot_WP_000029814.1_668	lcl|CP000800.1_prot_ABV18996.1_597	*	lcl|NC_011741.1_prot_WP_000029813.1_565	lcl|NC_000913.3_prot_NP_415135.1_595	lcl|NZ_CP019778.1_prot_WP_000029825.1_676	lcl|NC_011415.1_prot_WP_000029834.1_675	lcl|AP009048.1_prot_BAA35232.1_595
13	14	0.749	lcl|AP010960.1_prot_BAI38731.1_4997	lcl|AP010953.1_prot_BAI28382.1_5239	lcl|AP010958.1_prot_BAI33566.1_4879	lcl|NZ_CP028304.1_prot_WP_000405645.1_4580,lcl|NZ_CP028304.1_prot_WP_000405647.1_4587	lcl|NZ_CP022959.1_prot_WP_000405647.1_4056	lcl|NC_012759.1_prot_WP_000405651.1_4084	lcl|NC_010473.1_prot_WP_000405651.1_4233	lcl|CP000800.1_prot_ABV19919.1_4456	*	lcl|NC_011741.1_prot_WP_000405647.1_4141	lcl|NC_000913.3_prot_NP_418551.1_4045	lcl|NZ_CP019778.1_prot_WP_000405651.1_4443	lcl|NC_011415.1_prot_WP_000405647.1_4404	lcl|AP009048.1_prot_BAE78129.1_4059
13	14	0.742	lcl|AP010960.1_prot_BAI34632.1_663	lcl|AP010953.1_prot_BAI24036.1_707	lcl|AP010958.1_prot_BAI29503.1_640	lcl|NZ_CP028304.1_prot_WP_001231421.1_780	lcl|NZ_CP022959.1_prot_WP_001231429.1_3136	lcl|NC_012759.1_prot_WP_001231430.1_547	lcl|NC_010473.1_prot_WP_001231430.1_590,lcl|NC_010473.1_prot_WP_001231430.1_698	lcl|CP000800.1_prot_ABV19806.1_632	*	lcl|NC_011741.1_prot_WP_001231415.1_595	lcl|NC_000913.3_prot_NP_415166.1_624	lcl|NZ_CP019778.1_prot_WP_066008963.1_706	lcl|NC_011415.1_prot_WP_001231428.1_705	lcl|AP009048.1_prot_BAA35276.1_627
13	14	0.742	lcl|AP010960.1_prot_BAI37733.1_3953	lcl|AP010953.1_prot_BAI27408.1_4234	lcl|AP010958.1_prot_BAI32587.1_3876	lcl|NZ_CP028304.1_prot_WP_000072187.1_3510	lcl|NZ_CP022959.1_prot_WP_000072187.1_585	lcl|NC_012759.1_prot_WP_000072187.1_3027	lcl|NC_010473.1_prot_WP_000072187.1_3246	lcl|CP000800.1_prot_ABV20606.1_3435	*	lcl|NC_011741.1_prot_WP_000072187.1_3162	lcl|NC_000913.3_prot_NP_417600.1_3077	lcl|NZ_CP019778.1_prot_WP_000072187.1_3437,lcl|NZ_CP019778.1_prot_WP_000072197.1_964	lcl|NC_011415.1_prot_WP_000072187.1_3419	lcl|AP009048.1_prot_BAE77178.1_3093
