# Species	Genes	Alg.-Conn.	ATCC17978.fasta	ATCC19606.fasta	MDR-TJ.fasta	MDR-ZJ06.fasta	NCGM237.fasta	PKAB07.fasta	TCDC-AB0715.fasta	TYTH-1.fasta	UNVERIFIED_AC12.fasta	ZW85-1.fasta
10	20	0.154	lcl|NZ_CP033110.1_prot_WP_000421429.1_2455,lcl|NZ_CP033110.1_prot_WP_005135181.1_1666	lcl|NZ_CP058289.1_prot_WP_000421431.1_2183,lcl|NZ_CP058289.1_prot_WP_000418528.1_1363	lcl|NC_017847.1_prot_WP_000397479.1_2436,lcl|NC_017847.1_prot_WP_000418541.1_1657	lcl|NC_017171.2_prot_WP_000418541.1_3233,lcl|NC_017171.2_prot_WP_000397477.1_2450	lcl|NZ_AP013357.1_prot_WP_000397479.1_2603,lcl|NZ_AP013357.1_prot_WP_000418541.1_1753	lcl|CP006963.1_prot_AHJ92711.1_1252,lcl|CP006963.1_prot_AHJ93497.1_2041	lcl|CP002522.2_prot_ADX91802.1_1374,lcl|CP002522.2_prot_ADX92617.1_2186	lcl|NC_018706.1_prot_WP_000397479.1_1571,lcl|NC_018706.1_prot_WP_000418541.1_2333	lcl|CP007549.3_prot_AHX28247.1_1278,lcl|CP007549.3_prot_AHX27944.1_975	lcl|NC_023028.1_prot_WP_023896625.1_1497,lcl|NC_023028.1_prot_WP_000397477.1_2272
10	19	0.786	lcl|NZ_CP033110.1_prot_WP_005135170.1_1645,lcl|NZ_CP033110.1_prot_WP_005135190.1_1684	lcl|NZ_CP058289.1_prot_WP_000172911.1_1342,lcl|NZ_CP058289.1_prot_WP_000786448.1_1381	lcl|NC_017847.1_prot_WP_000172918.1_1636,lcl|NC_017847.1_prot_WP_000786460.1_1675	lcl|NC_017171.2_prot_WP_000172918.1_3254,lcl|NC_017171.2_prot_WP_000786460.1_3215	lcl|NZ_AP013357.1_prot_WP_000172918.1_1732,lcl|NZ_AP013357.1_prot_WP_000786460.1_1771	lcl|CP006963.1_prot_AHJ93478.1_2022,lcl|CP006963.1_prot_AHJ93519.1_2064	lcl|CP002522.2_prot_ADX92638.1_2207	lcl|NC_018706.1_prot_WP_000172918.1_2354,lcl|NC_018706.1_prot_WP_000786460.1_2315	lcl|CP007549.3_prot_AHX27923.1_954,lcl|CP007549.3_prot_AHX27962.1_993	lcl|NC_023028.1_prot_WP_023896617.1_1479,lcl|NC_023028.1_prot_WP_023896639.1_1518
10	18	0.794	lcl|NZ_CP033110.1_prot_WP_000565984.1_1643,lcl|NZ_CP033110.1_prot_WP_000566012.1_1686	lcl|NZ_CP058289.1_prot_WP_000565989.1_1383,lcl|NZ_CP058289.1_prot_WP_000566012.1_1340	lcl|NC_017847.1_prot_WP_000565989.1_1634,lcl|NC_017847.1_prot_WP_000566012.1_1677	lcl|NC_017171.2_prot_WP_000565989.1_3256,lcl|NC_017171.2_prot_WP_000566012.1_3213	lcl|NZ_AP013357.1_prot_WP_000565989.1_1730,lcl|NZ_AP013357.1_prot_WP_000566012.1_1773	lcl|CP006963.1_prot_AHJ93476.1_2020,lcl|CP006963.1_prot_AHJ93521.1_2066	lcl|CP002522.2_prot_ADX92596.1_2165	lcl|NC_018706.1_prot_WP_000565989.1_2356,lcl|NC_018706.1_prot_WP_000566012.1_2313	lcl|CP007549.3_prot_AHX27921.1_952,lcl|CP007549.3_prot_AHX27964.1_995	lcl|NC_023028.1_prot_WP_000566012.1_1520
10	18	0.319	lcl|NZ_CP033110.1_prot_WP_000433902.1_2497	lcl|NZ_CP058289.1_prot_WP_000433915.1_915,lcl|NZ_CP058289.1_prot_WP_000433918.1_2226	lcl|NC_017847.1_prot_WP_000433907.1_2625,lcl|NC_017847.1_prot_WP_000433900.1_1493	lcl|NC_017171.2_prot_WP_000433907.1_2329,lcl|NC_017171.2_prot_WP_000433900.1_3399,lcl|NC_017171.2_prot_WP_000433900.1_3677	lcl|NZ_AP013357.1_prot_WP_000433918.1_1580,lcl|NZ_AP013357.1_prot_WP_000433907.1_1180,lcl|NZ_AP013357.1_prot_WP_000433907.1_2708	lcl|CP006963.1_prot_AHJ93664.1_2211,lcl|CP006963.1_prot_AHJ92625.1_1164	lcl|CP002522.2_prot_ADX91627.1_1199	lcl|NC_018706.1_prot_WP_000433907.1_1400	lcl|CP007549.3_prot_AHX30313.1_3346,lcl|CP007549.3_prot_AHX30239.1_3272	lcl|NC_023028.1_prot_WP_000433918.1_2423
10	18	0.117	lcl|NZ_CP033110.1_prot_WP_001019729.1_2496	lcl|NZ_CP058289.1_prot_WP_001984959.1_2225	lcl|NC_017847.1_prot_WP_001019739.1_2624,lcl|NC_017847.1_prot_WP_001019736.1_1494	lcl|NC_017171.2_prot_WP_001019739.1_2330,lcl|NC_017171.2_prot_WP_001019736.1_3398,lcl|NC_017171.2_prot_WP_001019738.1_3676	lcl|NZ_AP013357.1_prot_WP_001019712.1_1581,lcl|NZ_AP013357.1_prot_WP_001019739.1_1181,lcl|NZ_AP013357.1_prot_WP_001019739.1_2707	lcl|CP006963.1_prot_AHJ92626.1_1165,lcl|CP006963.1_prot_AHJ93663.1_2210	lcl|CP002522.2_prot_ADX91628.1_1200,lcl|CP002522.2_prot_ADX93168.1_2737	lcl|NC_018706.1_prot_WP_001019739.1_1401	lcl|CP007549.3_prot_AHX30240.1_3273,lcl|CP007549.3_prot_AHX30312.1_3345	lcl|NC_023028.1_prot_WP_023897107.1_2422
10	16	0.779	lcl|NZ_CP033110.1_prot_WP_001029610.1_2831,lcl|NZ_CP033110.1_prot_WP_001029610.1_3347	lcl|NZ_CP058289.1_prot_WP_001029610.1_2619,lcl|NZ_CP058289.1_prot_WP_001029610.1_3122	lcl|NC_017847.1_prot_WP_001029610.1_2862,lcl|NC_017847.1_prot_WP_001029610.1_3394	lcl|NC_017171.2_prot_WP_001029610.1_1446,lcl|NC_017171.2_prot_WP_001029610.1_1978	lcl|NZ_AP013357.1_prot_WP_001029610.1_2970,lcl|NZ_AP013357.1_prot_WP_001029610.1_3539	lcl|CP006963.1_prot_AHJ91770.1_304	lcl|CP002522.2_prot_ADX90763.1_333	lcl|NC_018706.1_prot_WP_001029610.1_1066,lcl|NC_018706.1_prot_WP_001029610.1_534	lcl|CP007549.3_prot_AHX30513.1_3538	lcl|NC_023028.1_prot_WP_023897398.1_3159
10	15	0.146	lcl|NZ_CP033110.1_prot_WP_049594804.1_717	lcl|NZ_CP058289.1_prot_WP_031946429.1_463	lcl|NC_017847.1_prot_WP_002017062.1_669,lcl|NC_017847.1_prot_WP_001207327.1_2622	lcl|NC_017171.2_prot_WP_002017062.1_458,lcl|NC_017171.2_prot_WP_001207327.1_2332	lcl|NZ_AP013357.1_prot_WP_002017062.1_684,lcl|NZ_AP013357.1_prot_WP_001207327.1_2705	lcl|CP006963.1_prot_AHJ92628.1_1167	lcl|CP002522.2_prot_ADX91630.2_1202	lcl|NC_018706.1_prot_WP_002017062.1_3237,lcl|NC_018706.1_prot_WP_001207327.1_1403	lcl|CP007549.3_prot_AHX28718.1_1749,lcl|CP007549.3_prot_AHX30242.1_3275	lcl|NC_023028.1_prot_WP_043960351.1_665
10	14	0.697	lcl|NZ_CP033110.1_prot_WP_000277431.1_1497	lcl|NZ_CP058289.1_prot_WP_000277454.1_911	lcl|NC_017847.1_prot_WP_000277448.1_2629	lcl|NC_017171.2_prot_WP_000277443.1_3403,lcl|NC_017171.2_prot_WP_000277448.1_2325	lcl|NZ_AP013357.1_prot_WP_000277443.1_1576,lcl|NZ_AP013357.1_prot_WP_000277448.1_1176,lcl|NZ_AP013357.1_prot_WP_033503178.1_2712	lcl|CP006963.1_prot_AHJ92622.1_1161,lcl|CP006963.1_prot_AHJ93668.1_2215	lcl|CP002522.2_prot_ADX91623.1_1195	lcl|NC_018706.1_prot_WP_000277448.1_1396	lcl|CP007549.3_prot_AHX27645.1_676	lcl|NC_023028.1_prot_WP_023897110.1_2427
10	14	0.323	lcl|NZ_CP033110.1_prot_WP_000524217.1_1481	lcl|NZ_CP058289.1_prot_WP_001201764.1_891	lcl|NC_017847.1_prot_WP_000524257.1_2647	lcl|NC_017171.2_prot_WP_000524257.1_2307,lcl|NC_017171.2_prot_WP_000524217.1_3423	lcl|NZ_AP013357.1_prot_WP_002075957.1_1555,lcl|NZ_AP013357.1_prot_WP_000524257.1_1157,lcl|NZ_AP013357.1_prot_WP_041114811.1_2727	lcl|CP006963.1_prot_AHJ92605.1_1144	lcl|CP002522.2_prot_ADX91605.1_1177	lcl|NC_018706.1_prot_WP_000524257.1_1378	lcl|CP007549.3_prot_AHX28764.1_1795,lcl|CP007549.3_prot_AHX29734.1_2766	lcl|NC_023028.1_prot_WP_023897122.1_2441
10	14	0.24	lcl|NZ_CP033110.1_prot_WP_000064603.1_1487	lcl|NZ_CP058289.1_prot_WP_002134788.1_898	lcl|NC_017847.1_prot_WP_000064593.1_2639	lcl|NC_017171.2_prot_WP_000064599.1_3418,lcl|NC_017171.2_prot_WP_000064593.1_2315	lcl|NZ_AP013357.1_prot_WP_000064593.1_1165,lcl|NZ_AP013357.1_prot_WP_017725546.1_2723,lcl|NZ_AP013357.1_prot_WP_000064602.1_1560	lcl|CP006963.1_prot_AHJ92613.1_1152	lcl|CP002522.2_prot_ADX91613.1_1185	lcl|NC_018706.1_prot_WP_000064593.1_1386	lcl|CP007549.3_prot_AHX29742.1_2774,lcl|CP007549.3_prot_AHX28759.1_1790	lcl|NC_023028.1_prot_WP_023897118.1_2435
