# Species	Genes	Alg.-Conn.	D:SotonD1.fasta	E:11023.fasta	E:150.fasta	E:Bour.fasta	E:SW3.fasta	E:SotonE4.fasta	E:SotonE8.fasta	F:SW4.fasta	F:SW5.fasta	F:SotonF3.fasta
10	10	0.983	lcl|NC_020967.1_prot_WP_009872661.1_461	lcl|CP001890.1_prot_ADH20915.1_461	lcl|CP001886.1_prot_ADH17220.1_459	lcl|NC_020971.1_prot_WP_009872661.1_462	lcl|NC_017952.1_prot_WP_009872661.1_460	lcl|NC_020969.1_prot_WP_009872661.1_461	lcl|NC_020942.1_prot_WP_009872661.1_464	lcl|NC_017951.1_prot_WP_009872661.1_461	lcl|NC_017953.1_prot_WP_009872661.1_461	lcl|NC_020964.1_prot_WP_009872661.1_460
10	10	0.982	lcl|NC_020967.1_prot_WP_009871675.1_334	lcl|CP001890.1_prot_ADH20790.1_336	lcl|CP001886.1_prot_ADH17095.1_334	lcl|NC_020971.1_prot_WP_009871675.1_335	lcl|NC_017952.1_prot_WP_009871675.1_333	lcl|NC_020969.1_prot_WP_009871675.1_334	lcl|NC_020942.1_prot_WP_009871675.1_337	lcl|NC_017951.1_prot_WP_009871675.1_334	lcl|NC_017953.1_prot_WP_009871675.1_334	lcl|NC_020964.1_prot_WP_009871675.1_333
10	10	0.981	lcl|NC_020967.1_prot_WP_009871583.1_241	lcl|CP001890.1_prot_ADH20696.1_242	lcl|CP001886.1_prot_ADH17001.1_240	lcl|NC_020971.1_prot_WP_009871583.1_242	lcl|NC_017952.1_prot_WP_009871583.1_240	lcl|NC_020969.1_prot_WP_009871583.1_241	lcl|NC_020942.1_prot_WP_009871583.1_244	lcl|NC_017951.1_prot_WP_009871583.1_241	lcl|NC_017953.1_prot_WP_009871583.1_241	lcl|NC_020964.1_prot_WP_009871583.1_240
10	10	0.981	lcl|NC_020967.1_prot_WP_009872221.1_861	lcl|CP001890.1_prot_ADH21336.1_882	lcl|CP001886.1_prot_ADH17644.1_883	lcl|NC_020971.1_prot_WP_009872221.1_861	lcl|NC_017952.1_prot_WP_009872221.1_859	lcl|NC_020969.1_prot_WP_009872221.1_860	lcl|NC_020942.1_prot_WP_009872221.1_865	lcl|NC_017951.1_prot_WP_009872221.1_860	lcl|NC_017953.1_prot_WP_009872221.1_860	lcl|NC_020964.1_prot_WP_009872221.1_860
10	10	0.98	lcl|NC_020967.1_prot_WP_009872566.1_338	lcl|CP001890.1_prot_ADH20794.1_340	lcl|CP001886.1_prot_ADH17099.1_338	lcl|NC_020971.1_prot_WP_009872566.1_339	lcl|NC_017952.1_prot_WP_009872566.1_337	lcl|NC_020969.1_prot_WP_009872566.1_338	lcl|NC_020942.1_prot_WP_009872566.1_341	lcl|NC_017951.1_prot_WP_009872566.1_338	lcl|NC_017953.1_prot_WP_009872566.1_338	lcl|NC_020964.1_prot_WP_009872566.1_337
10	10	0.98	lcl|NC_020967.1_prot_WP_009872954.1_843	lcl|CP001890.1_prot_ADH21318.1_864	lcl|CP001886.1_prot_ADH17626.1_865	lcl|NC_020971.1_prot_WP_009872954.1_844	lcl|NC_017952.1_prot_WP_009872954.1_842	lcl|NC_020969.1_prot_WP_009872954.1_843	lcl|NC_020942.1_prot_WP_009872954.1_847	lcl|NC_017951.1_prot_WP_009872954.1_843	lcl|NC_017953.1_prot_WP_009872954.1_843	lcl|NC_020964.1_prot_WP_009872954.1_842
10	10	0.979	lcl|NC_020967.1_prot_WP_009871842.1_500	lcl|CP001890.1_prot_ADH20957.1_503	lcl|CP001886.1_prot_ADH17262.1_501	lcl|NC_020971.1_prot_WP_009871842.1_501	lcl|NC_017952.1_prot_WP_009871842.1_499	lcl|NC_020969.1_prot_WP_009871842.1_500	lcl|NC_020942.1_prot_WP_009871842.1_503	lcl|NC_017951.1_prot_WP_009871842.1_500	lcl|NC_017953.1_prot_WP_009871842.1_500	lcl|NC_020964.1_prot_WP_009871842.1_499
10	10	0.979	lcl|NC_020967.1_prot_WP_009871860.1_516	lcl|CP001890.1_prot_ADH20974.1_520	lcl|CP001886.1_prot_ADH17279.1_518	lcl|NC_020971.1_prot_WP_009871860.1_517	lcl|NC_017952.1_prot_WP_009871860.1_515	lcl|NC_020969.1_prot_WP_009871860.1_516	lcl|NC_020942.1_prot_WP_009871860.1_519	lcl|NC_017951.1_prot_WP_009871860.1_516	lcl|NC_017953.1_prot_WP_009871860.1_516	lcl|NC_020964.1_prot_WP_009871860.1_515
10	10	0.979	lcl|NC_020967.1_prot_WP_009872199.1_839	lcl|CP001890.1_prot_ADH21314.1_860	lcl|CP001886.1_prot_ADH17622.1_861	lcl|NC_020971.1_prot_WP_009872199.1_840	lcl|NC_017952.1_prot_WP_009872199.1_838	lcl|NC_020969.1_prot_WP_009872199.1_839	lcl|NC_020942.1_prot_WP_009872199.1_843	lcl|NC_017951.1_prot_WP_009872199.1_839	lcl|NC_017953.1_prot_WP_009872199.1_839	lcl|NC_020964.1_prot_WP_009872199.1_838
10	10	0.979	lcl|NC_020967.1_prot_WP_009872447.1_195	lcl|CP001890.1_prot_ADH20650.1_196	lcl|CP001886.1_prot_ADH16955.1_194	lcl|NC_020971.1_prot_WP_009872447.1_196	lcl|NC_017952.1_prot_WP_009872447.1_194	lcl|NC_020969.1_prot_WP_009872447.1_195	lcl|NC_020942.1_prot_WP_009872447.1_198	lcl|NC_017951.1_prot_WP_009872447.1_195	lcl|NC_017953.1_prot_WP_009872447.1_195	lcl|NC_020964.1_prot_WP_009872447.1_194
10	10	0.979	lcl|NC_020967.1_prot_WP_009872712.1_529	lcl|CP001890.1_prot_ADH20987.1_533	lcl|CP001886.1_prot_ADH17292.1_531	lcl|NC_020971.1_prot_WP_009872712.1_530	lcl|NC_017952.1_prot_WP_009872712.1_528	lcl|NC_020969.1_prot_WP_009872712.1_529	lcl|NC_020942.1_prot_WP_009872712.1_532	lcl|NC_017951.1_prot_WP_009872712.1_529	lcl|NC_017953.1_prot_WP_009872712.1_529	lcl|NC_020964.1_prot_WP_009872712.1_528
10	10	0.978	lcl|NC_020967.1_prot_WP_009871496.1_152	lcl|CP001890.1_prot_ADH20610.1_156	lcl|CP001886.1_prot_ADH16917.1_156	lcl|NC_020971.1_prot_WP_009871496.1_153	lcl|NC_017952.1_prot_WP_009871496.1_152	lcl|NC_020969.1_prot_WP_009871496.1_152	lcl|NC_020942.1_prot_WP_009871496.1_153	lcl|NC_017951.1_prot_WP_009871496.1_152	lcl|NC_017953.1_prot_WP_009871496.1_152	lcl|NC_020964.1_prot_WP_009871496.1_152
10	10	0.978	lcl|NC_020967.1_prot_WP_009871791.1_452	lcl|CP001890.1_prot_ADH20906.1_452	lcl|CP001886.1_prot_ADH17211.1_450	lcl|NC_020971.1_prot_WP_009871791.1_453	lcl|NC_017952.1_prot_WP_009871791.1_451	lcl|NC_020969.1_prot_WP_009871791.1_452	lcl|NC_020942.1_prot_WP_009871791.1_455	lcl|NC_017951.1_prot_WP_009871791.1_452	lcl|NC_017953.1_prot_WP_009871791.1_452	lcl|NC_020964.1_prot_WP_009871791.1_451
10	10	0.978	lcl|NC_020967.1_prot_WP_009872145.1_787	lcl|CP001890.1_prot_ADH21257.1_803	lcl|CP001886.1_prot_ADH17565.1_804	lcl|NC_020971.1_prot_WP_009872145.1_788	lcl|NC_017952.1_prot_WP_009872145.1_786	lcl|NC_020969.1_prot_WP_009872145.1_787	lcl|NC_020942.1_prot_WP_009872145.1_791	lcl|NC_017951.1_prot_WP_009872145.1_787	lcl|NC_017953.1_prot_WP_009872145.1_787	lcl|NC_020964.1_prot_WP_009872145.1_786
