# Species	Genes	Alg.-Conn.	042.fasta	11368.fasta	2a301.fasta	ATCC8739.fasta	IAI39.fasta	O55H7.fasta	S88.fasta	Ss046.fasta	W.fasta
9	32	0.124	lcl|FN554766.1_prot_CBG34502.1_1668,lcl|FN554766.1_prot_CBG34337.1_1503,lcl|FN554766.1_prot_CBG34959.1_2125,lcl|FN554766.1_prot_CBG34199.1_1365	lcl|AP010953.1_prot_BAI26865.1_3668,lcl|AP010953.1_prot_BAI23957.1_625,lcl|AP010953.1_prot_BAI24205.1_886,lcl|AP010953.1_prot_BAI24549.1_1237,lcl|AP010953.1_prot_BAI24820.1_1519,lcl|AP010953.1_prot_BAI25251.1_1973,lcl|AP010953.1_prot_BAI25854.1_2613,lcl|AP010953.1_prot_BAI25418.1_2160,lcl|AP010953.1_prot_BAI26365.1_3153	lcl|NC_004337.2_prot_NP_706647.1_657,lcl|NC_004337.2_prot_NP_707731.1_1710	lcl|NZ_CP022959.1_prot_WP_001233110.1_2181	lcl|NC_011750.1_prot_WP_001228261.1_872,lcl|NC_011750.1_prot_WP_001228271.1_4839,lcl|NC_011750.1_prot_WP_001228263.1_1848,lcl|NC_011750.1_prot_WP_001228262.1_524	lcl|CP003109.1_prot_AEZ41148.1_2513,lcl|CP003109.1_prot_AEZ39311.1_676,lcl|CP003109.1_prot_AEZ40302.1_1667,lcl|CP003109.1_prot_AEZ40469.1_1834,lcl|CP003109.1_prot_AEZ40920.1_2285,lcl|CP003109.1_prot_AEZ38953.1_318,lcl|CP003109.1_prot_AEZ39572.1_937	lcl|CU928161.2_prot_CAR06185.1_4808,lcl|CU928161.2_prot_CAR02709.1_1336,lcl|CU928161.2_prot_CAR01935.1_564	lcl|CP000038.1_prot_AAZ88448.1_1651	lcl|NC_017635.1_prot_WP_001233072.1_1664
9	22	0.142	lcl|FN554766.1_prot_CBG34333.1_1499,lcl|FN554766.1_prot_CBG34194.1_1360,lcl|FN554766.1_prot_CBG34506.1_1672,lcl|FN554766.1_prot_CBG34963.1_2129	lcl|AP010953.1_prot_BAI23953.1_621,lcl|AP010953.1_prot_BAI26372.1_3161,lcl|AP010953.1_prot_BAI25422.1_2164	lcl|NC_004337.2_prot_NP_706643.1_653,lcl|NC_004337.2_prot_NP_707735.1_1714	lcl|NZ_CP022959.1_prot_WP_001152612.1_2177	lcl|NC_011750.1_prot_WP_001152615.1_520,lcl|NC_011750.1_prot_WP_001152379.1_4835	lcl|CP003109.1_prot_AEZ39307.1_672,lcl|CP003109.1_prot_AEZ40473.1_1838,lcl|CP003109.1_prot_AEZ38949.1_314,lcl|CP003109.1_prot_AEZ39568.1_933	lcl|CU928161.2_prot_CAR02704.1_1331,lcl|CU928161.2_prot_CAR02533.1_1161,lcl|CU928161.2_prot_CAR06181.1_4804	lcl|CP000038.1_prot_AAZ89056.1_2259,lcl|CP000038.1_prot_AAZ88452.1_1655	lcl|NC_017635.1_prot_WP_001152622.1_1668
9	20	0.436	lcl|FN554766.1_prot_CBG34195.1_1361,lcl|FN554766.1_prot_CBG34505.1_1671,lcl|FN554766.1_prot_CBG34962.1_2128,lcl|FN554766.1_prot_CBG34334.1_1500	lcl|AP010953.1_prot_BAI25421.1_2163,lcl|AP010953.1_prot_BAI26371.1_3160	lcl|NC_004337.2_prot_NP_706644.1_654	lcl|NZ_CP022959.1_prot_WP_012304874.1_2178	lcl|NC_011750.1_prot_WP_000140722.1_521,lcl|NC_011750.1_prot_WP_000140759.1_4836	lcl|CP003109.1_prot_AEZ39308.1_673,lcl|CP003109.1_prot_AEZ40472.1_1837,lcl|CP003109.1_prot_AEZ38950.1_315,lcl|CP003109.1_prot_AEZ39569.1_934	lcl|CU928161.2_prot_CAR06182.1_4805,lcl|CU928161.2_prot_CAR02534.1_1162,lcl|CU928161.2_prot_CAR02705.1_1332	lcl|CP000038.1_prot_AAZ89055.1_2258,lcl|CP000038.1_prot_AAZ88451.1_1654	lcl|NC_017635.1_prot_WP_001349921.1_1667
9	18	0.784	lcl|FN554766.1_prot_CBG34447.1_1613,lcl|FN554766.1_prot_CBG36637.1_3803	lcl|AP010953.1_prot_BAI25363.1_2091,lcl|AP010953.1_prot_BAI27772.1_4607	lcl|NC_004337.2_prot_NP_707602.2_1586,lcl|NC_004337.2_prot_NP_709338.2_3267	lcl|NZ_CP022959.1_prot_WP_000358930.1_2239,lcl|NZ_CP022959.1_prot_WP_000372240.1_205	lcl|NC_011750.1_prot_WP_000358927.1_1747,lcl|NC_011750.1_prot_WP_000372247.1_3984	lcl|CP003109.1_prot_AEZ40405.1_1770,lcl|CP003109.1_prot_AEZ42623.1_3988	lcl|CU928161.2_prot_CAR02896.1_1523,lcl|CU928161.2_prot_CAR05140.1_3766	lcl|CP000038.1_prot_AAZ88326.1_1529,lcl|CP000038.1_prot_AAZ90121.1_3324	lcl|NC_017635.1_prot_WP_000358930.1_1598,lcl|NC_017635.1_prot_WP_000372240.1_3713
9	18	0.324	lcl|FN554766.1_prot_CBG34094.1_1260,lcl|FN554766.1_prot_CBG34093.1_1259	lcl|AP010953.1_prot_BAI25028.1_1729,lcl|AP010953.1_prot_BAI25029.1_1730,lcl|AP010953.1_prot_BAI25030.1_1731	lcl|NC_004337.2_prot_YP_008439243.1_1126	lcl|NZ_CP022959.1_prot_WP_000170963.1_2502,lcl|NZ_CP022959.1_prot_WP_000170965.1_2501,lcl|NZ_CP022959.1_prot_WP_000170951.1_2503	lcl|NC_011750.1_prot_WP_000170956.1_1545,lcl|NC_011750.1_prot_WP_000176713.1_1544	lcl|CP003109.1_prot_AEZ40049.1_1414,lcl|CP003109.1_prot_AEZ40050.1_1415	lcl|CU928161.2_prot_CAR02610.2_1238	lcl|CP000038.1_prot_AAZ88629.1_1832	lcl|NC_017635.1_prot_WP_000170954.1_1285,lcl|NC_017635.1_prot_WP_000170926.1_1286,lcl|NC_017635.1_prot_WP_000170965.1_1287
9	18	0.124	lcl|FN554766.1_prot_CBG33811.1_977,lcl|FN554766.1_prot_CBG34565.1_1731	lcl|AP010953.1_prot_BAI24337.1_1021,lcl|AP010953.1_prot_BAI25541.1_2292	lcl|NC_004337.2_prot_NP_706780.1_789,lcl|NC_004337.2_prot_NP_707487.1_1476	lcl|NZ_CP022959.1_prot_WP_000213098.1_2804,lcl|NZ_CP022959.1_prot_WP_000213028.1_2110	lcl|NC_011750.1_prot_WP_000213028.1_1459,lcl|NC_011750.1_prot_WP_000213095.1_2253	lcl|CP003109.1_prot_AEZ40533.1_1898,lcl|CP003109.1_prot_AEZ39709.1_1074	lcl|CU928161.2_prot_CAR02258.1_886,lcl|CU928161.2_prot_CAR02949.1_1576	lcl|CP000038.1_prot_AAZ87637.1_839,lcl|CP000038.1_prot_AAZ88274.1_1477	lcl|NC_017635.1_prot_WP_000213098.1_987,lcl|NC_017635.1_prot_WP_000213028.1_1735
9	18	0.117	lcl|FN554766.1_prot_CBG34198.1_1364,lcl|FN554766.1_prot_CBG34503.1_1669	lcl|AP010953.1_prot_BAI26369.1_3158,lcl|AP010953.1_prot_BAI23956.1_624,lcl|AP010953.1_prot_BAI25419.1_2161	lcl|NC_004337.2_prot_NP_706646.1_656,lcl|NC_004337.2_prot_NP_707732.1_1711	lcl|NZ_CP022959.1_prot_WP_000515744.1_2180	lcl|NC_011750.1_prot_WP_000515353.1_523	lcl|CP003109.1_prot_AEZ38952.1_317,lcl|CP003109.1_prot_AEZ39571.1_936,lcl|CP003109.1_prot_AEZ40470.1_1835,lcl|CP003109.1_prot_AEZ39310.1_675	lcl|CU928161.2_prot_CAR02708.1_1335,lcl|CU928161.2_prot_CAR02536.1_1164	lcl|CP000038.1_prot_AAZ88449.1_1652,lcl|CP000038.1_prot_AAZ89053.1_2256	lcl|NC_017635.1_prot_WP_000033679.1_1665
9	17	0.791	lcl|FN554766.1_prot_CBG36425.1_3591,lcl|FN554766.1_prot_CBG37171.1_4337	lcl|AP010953.1_prot_BAI27597.1_4427,lcl|AP010953.1_prot_BAI28240.1_5088	lcl|NC_004337.2_prot_NP_709113.2_3043,lcl|NC_004337.2_prot_NP_709775.1_3688	lcl|NZ_CP022959.1_prot_WP_000031783.1_387,lcl|NZ_CP022959.1_prot_WP_000031784.1_4202	lcl|NC_011750.1_prot_WP_000031783.1_3787,lcl|NC_011750.1_prot_WP_000031784.1_4320	lcl|CP003109.1_prot_AEZ42418.1_3783,lcl|CP003109.1_prot_AEZ43130.1_4495	lcl|CU928161.2_prot_CAR04943.1_3569,lcl|CU928161.2_prot_CAR05610.1_4237	lcl|CP000038.1_prot_AAZ90029.1_3232,lcl|CP000038.1_prot_AAZ90658.1_3861	lcl|NC_017635.1_prot_WP_000031783.1_3527
9	11	0.718	lcl|FN554766.1_prot_CBG35119.1_2285	lcl|AP010953.1_prot_BAI26182.1_2959	lcl|NC_004337.2_prot_NP_707943.2_1913	lcl|NZ_CP022959.1_prot_WP_012304854.1_1641	lcl|NC_011750.1_prot_WP_000954427.1_977,lcl|NC_011750.1_prot_WP_012602262.1_957	lcl|CP003109.1_prot_AEZ41056.1_2421	lcl|CU928161.2_prot_CAR03432.1_2060	lcl|CP000038.1_prot_AAZ88757.1_1960	lcl|NC_017635.1_prot_WP_000097125.1_2164,lcl|NC_017635.1_prot_WP_001349965.1_2179
9	10	0.758	lcl|FN554766.1_prot_CBG32864.1_30	lcl|AP010953.1_prot_BAI23389.1_28	lcl|NC_004337.2_prot_NP_705983.1_25,lcl|NC_004337.2_prot_NP_705984.1_26	lcl|NZ_CP022959.1_prot_WP_000004655.1_3772	lcl|NC_011750.1_prot_WP_000004655.1_31	lcl|CP003109.1_prot_AEZ38662.1_27	lcl|CU928161.2_prot_CAR01394.1_26	lcl|CP000038.1_prot_AAZ86830.1_32	lcl|NC_017635.1_prot_WP_000004655.1_27
