# Species	Genes	Alg.-Conn.	AC30.fasta	ATCC17978.fasta	ATCC19606.fasta	BJAB0715.fasta	D1279779.fasta	MDR-TJ.fasta	NCGM237.fasta	PKAB07.fasta	TYTH-1.fasta
9	18	0.796	lcl|CP007577.1_prot_AHX64731.1_1064,lcl|CP007577.1_prot_AHX64774.1_1107	lcl|NZ_CP033110.1_prot_WP_000565984.1_1643,lcl|NZ_CP033110.1_prot_WP_000566012.1_1686	lcl|NZ_CP058289.1_prot_WP_000565989.1_1383,lcl|NZ_CP058289.1_prot_WP_000566012.1_1340	lcl|NC_021733.1_prot_WP_000566012.1_2068,lcl|NC_021733.1_prot_WP_000566012.1_2111	lcl|NC_020547.2_prot_WP_000566016.1_1907,lcl|NC_020547.2_prot_WP_000566016.1_1950	lcl|NC_017847.1_prot_WP_000565989.1_1634,lcl|NC_017847.1_prot_WP_000566012.1_1677	lcl|NZ_AP013357.1_prot_WP_000565989.1_1730,lcl|NZ_AP013357.1_prot_WP_000566012.1_1773	lcl|CP006963.1_prot_AHJ93476.1_2020,lcl|CP006963.1_prot_AHJ93521.1_2066	lcl|NC_018706.1_prot_WP_000565989.1_2356,lcl|NC_018706.1_prot_WP_000566012.1_2313
9	18	0.785	lcl|CP007577.1_prot_AHX64733.1_1066,lcl|CP007577.1_prot_AHX64772.1_1105	lcl|NZ_CP033110.1_prot_WP_005135170.1_1645,lcl|NZ_CP033110.1_prot_WP_005135190.1_1684	lcl|NZ_CP058289.1_prot_WP_000172911.1_1342,lcl|NZ_CP058289.1_prot_WP_000786448.1_1381	lcl|NC_021733.1_prot_WP_000786447.1_2070,lcl|NC_021733.1_prot_WP_005120004.1_2109	lcl|NC_020547.2_prot_WP_000172928.1_1948,lcl|NC_020547.2_prot_WP_000786464.1_1909	lcl|NC_017847.1_prot_WP_000172918.1_1636,lcl|NC_017847.1_prot_WP_000786460.1_1675	lcl|NZ_AP013357.1_prot_WP_000172918.1_1732,lcl|NZ_AP013357.1_prot_WP_000786460.1_1771	lcl|CP006963.1_prot_AHJ93478.1_2022,lcl|CP006963.1_prot_AHJ93519.1_2064	lcl|NC_018706.1_prot_WP_000172918.1_2354,lcl|NC_018706.1_prot_WP_000786460.1_2315
9	18	0.78	lcl|CP007577.1_prot_AHX64732.1_1065,lcl|CP007577.1_prot_AHX64773.1_1106	lcl|NZ_CP033110.1_prot_WP_000121790.1_1644,lcl|NZ_CP033110.1_prot_WP_005135192.1_1685	lcl|NZ_CP058289.1_prot_WP_000121755.1_1341,lcl|NZ_CP058289.1_prot_WP_000121757.1_1382	lcl|NC_021733.1_prot_WP_000121757.1_2110,lcl|NC_021733.1_prot_WP_020753184.1_2069	lcl|NC_020547.2_prot_WP_000121767.1_1949,lcl|NC_020547.2_prot_WP_000121799.1_1908	lcl|NC_017847.1_prot_WP_000121755.1_1635,lcl|NC_017847.1_prot_WP_000121776.1_1676	lcl|NZ_AP013357.1_prot_WP_000121755.1_1731,lcl|NZ_AP013357.1_prot_WP_000121776.1_1772	lcl|CP006963.1_prot_AHJ93477.1_2021,lcl|CP006963.1_prot_AHJ93520.1_2065	lcl|NC_018706.1_prot_WP_000121755.1_2355,lcl|NC_018706.1_prot_WP_000121776.1_2314
9	18	0.213	lcl|CP007577.1_prot_AHX64751.1_1084,lcl|CP007577.1_prot_AHX64275.1_608	lcl|NZ_CP033110.1_prot_WP_000421429.1_2455,lcl|NZ_CP033110.1_prot_WP_005135181.1_1666	lcl|NZ_CP058289.1_prot_WP_000421431.1_2183,lcl|NZ_CP058289.1_prot_WP_000418528.1_1363	lcl|NC_021733.1_prot_WP_020753191.1_2088,lcl|NC_021733.1_prot_WP_000397477.1_1342	lcl|NC_020547.2_prot_WP_015451550.1_1927,lcl|NC_020547.2_prot_WP_000421424.1_1238	lcl|NC_017847.1_prot_WP_000418541.1_1657,lcl|NC_017847.1_prot_WP_000397479.1_2436	lcl|NZ_AP013357.1_prot_WP_000418541.1_1753,lcl|NZ_AP013357.1_prot_WP_000397479.1_2603	lcl|CP006963.1_prot_AHJ93497.1_2041,lcl|CP006963.1_prot_AHJ92711.1_1252	lcl|NC_018706.1_prot_WP_000418541.1_2333,lcl|NC_018706.1_prot_WP_000397479.1_1571
9	16	0.361	lcl|CP007577.1_prot_AHX64913.1_1246,lcl|CP007577.1_prot_AHX66901.1_3235	lcl|NZ_CP033110.1_prot_WP_000433902.1_2497	lcl|NZ_CP058289.1_prot_WP_000433915.1_915,lcl|NZ_CP058289.1_prot_WP_000433918.1_2226	lcl|NC_021733.1_prot_WP_000433907.1_1196	lcl|NC_020547.2_prot_WP_000433918.1_1065,lcl|NC_020547.2_prot_WP_000433907.1_1198	lcl|NC_017847.1_prot_WP_000433907.1_2625,lcl|NC_017847.1_prot_WP_000433900.1_1493	lcl|NZ_AP013357.1_prot_WP_000433918.1_1580,lcl|NZ_AP013357.1_prot_WP_000433907.1_1180,lcl|NZ_AP013357.1_prot_WP_000433907.1_2708	lcl|CP006963.1_prot_AHJ93664.1_2211,lcl|CP006963.1_prot_AHJ92625.1_1164	lcl|NC_018706.1_prot_WP_000433907.1_1400
9	15	0.202	lcl|CP007577.1_prot_AHX66902.1_3236,lcl|CP007577.1_prot_AHX64912.1_1245	lcl|NZ_CP033110.1_prot_WP_001019729.1_2496	lcl|NZ_CP058289.1_prot_WP_001984959.1_2225	lcl|NC_021733.1_prot_WP_001019739.1_1197	lcl|NC_020547.2_prot_WP_001019394.1_1199,lcl|NC_020547.2_prot_WP_001019744.1_1067	lcl|NC_017847.1_prot_WP_001019739.1_2624,lcl|NC_017847.1_prot_WP_001019736.1_1494	lcl|NZ_AP013357.1_prot_WP_001019739.1_1181,lcl|NZ_AP013357.1_prot_WP_001019739.1_2707,lcl|NZ_AP013357.1_prot_WP_001019712.1_1581	lcl|CP006963.1_prot_AHJ92626.1_1165,lcl|CP006963.1_prot_AHJ93663.1_2210	lcl|NC_018706.1_prot_WP_001019739.1_1401
9	14	0.695	lcl|CP007577.1_prot_AHX67144.1_3478	lcl|NZ_CP033110.1_prot_WP_000277431.1_1497	lcl|NZ_CP058289.1_prot_WP_000277454.1_911	lcl|NC_021733.1_prot_WP_000277448.1_1192,lcl|NC_021733.1_prot_WP_020753256.1_2409	lcl|NC_020547.2_prot_WP_005138788.1_1061,lcl|NC_020547.2_prot_WP_005138788.1_1194	lcl|NC_017847.1_prot_WP_000277448.1_2629	lcl|NZ_AP013357.1_prot_WP_000277443.1_1576,lcl|NZ_AP013357.1_prot_WP_000277448.1_1176,lcl|NZ_AP013357.1_prot_WP_033503178.1_2712	lcl|CP006963.1_prot_AHJ92622.1_1161,lcl|CP006963.1_prot_AHJ93668.1_2215	lcl|NC_018706.1_prot_WP_000277448.1_1396
9	14	0.302	lcl|CP007577.1_prot_AHX66244.1_2578,lcl|CP007577.1_prot_AHX66262.1_2596	lcl|NZ_CP033110.1_prot_WP_000524217.1_1481	lcl|NZ_CP058289.1_prot_WP_001201764.1_891	lcl|NC_021733.1_prot_WP_000524257.1_2426,lcl|NC_021733.1_prot_WP_020752908.1_1177	lcl|NC_020547.2_prot_WP_000524222.1_1042,lcl|NC_020547.2_prot_WP_000524229.1_1177	lcl|NC_017847.1_prot_WP_000524257.1_2647	lcl|NZ_AP013357.1_prot_WP_000524257.1_1157,lcl|NZ_AP013357.1_prot_WP_002075957.1_1555,lcl|NZ_AP013357.1_prot_WP_041114811.1_2727	lcl|CP006963.1_prot_AHJ92605.1_1144	lcl|NC_018706.1_prot_WP_000524257.1_1378
9	14	0.268	lcl|CP007577.1_prot_AHX67082.1_3416,lcl|CP007577.1_prot_AHX67162.1_3496	lcl|NZ_CP033110.1_prot_WP_001185604.1_1490	lcl|NZ_CP058289.1_prot_WP_025079739.1_901	lcl|NC_021733.1_prot_WP_020753261.1_2415,lcl|NC_021733.1_prot_WP_020752913.1_1185	lcl|NC_020547.2_prot_WP_031959991.1_1049,lcl|NC_020547.2_prot_WP_031959991.1_1187	lcl|NC_017847.1_prot_WP_001185585.1_2636	lcl|NZ_AP013357.1_prot_WP_001185585.1_1168,lcl|NZ_AP013357.1_prot_WP_025465400.1_1563,lcl|NZ_AP013357.1_prot_WP_025465400.1_2720	lcl|CP006963.1_prot_AHJ92616.1_1155	lcl|NC_018706.1_prot_WP_001185585.1_1389
9	14	0.216	lcl|CP007577.1_prot_AHX67145.1_3479	lcl|NZ_CP033110.1_prot_WP_000368392.1_1498	lcl|NZ_CP058289.1_prot_WP_000368364.1_912	lcl|NC_021733.1_prot_WP_000368388.1_1193,lcl|NC_021733.1_prot_WP_000368364.1_2408	lcl|NC_020547.2_prot_WP_000368364.1_1062,lcl|NC_020547.2_prot_WP_000368364.1_1195	lcl|NC_017847.1_prot_WP_000368388.1_2628	lcl|NZ_AP013357.1_prot_WP_000368375.1_1577,lcl|NZ_AP013357.1_prot_WP_000368388.1_1177,lcl|NZ_AP013357.1_prot_WP_000368364.1_2711	lcl|CP006963.1_prot_AHJ92623.1_1162,lcl|CP006963.1_prot_AHJ93667.1_2214	lcl|NC_018706.1_prot_WP_000368388.1_1397
